vine_id,from,to,length,to_shoot_id,spurs,cane_id,x,y,quadrant,diameter,to_origin_id,orientation,base_origin_id,notes
9,1,2,110,,.,,500,110,3,27.76,,W,1,
9,2,3,40,,,,520,120,3,17.61,,W,1,
9,3,4,70,,,,470,140,3,15.34,,W,1,
9,4,5,60,,,,460,180,3,16.16,,W,1,
9,5,6,50,1,,T1,450,230,3,14.94,,W,1,"""vine 9 add"""
9,2,7,230,,,,520,290,3,26.8,,W,1,
9,7,8,130,,,,410,340,3,23.17,,W,1,
9,8,9,280,,.,,410,490,3,19.2,,W,1,
9,9,10,50,2,,A1,380,500,3,17.57,,W,1,
9,10,11,50,,,,370,520,3,13.2,,W,1,
9,11,12,70,3,,H1,330,550,3,13.79,,W,1,
9,12,13,70,4,,H1,290,640,3,10.51,,W,1,
9,13,14,150,5,,H1,220,760,3,9.57,,W,1,
9,14,15,100,6,,H1,210,810,3,9.36,,W,1,
9,9,16,160,,,,430,650,3,18.14,,W,1,
9,16,17,230,7,,C1,330,850,3,11.78,,W,1,
9,17,18,170,8,,C1,310,0,2,12.26,,W,1,
9,18,19,60,9,,C1,310,60,2,11.27,,W,1,
9,19,20,170,10,,C1,310,230,2,11.62,,W,1,
9,20,21,190,11,,C1,300,410,2,11.21,,W,1,
9,21,22,270,12,,C1,270,670,2,11.96,,W,1,
9,22,23,60,13,,C1,260,730,2,10.87,,W,1,
9,23,24,80,14,,C1,260,810,2,11.15,,W,1,
9,24,25,70,15,,C1,260,870,2,10.99,,W,1,
9,25,26,140,16,,C1,260,30,1,10.13,,W,1,
9,26,27,70,17,,C1,260,90,1,9.63,,W,1,
9,27,28,90,18,,C1,260,190,1,9.21,,W,1,
9,28,29,70,19,,C1,260,260,1,9.31,,W,1,
9,29,30,90,20,,C1,250,360,1,8.99,,W,1,
9,30,31,100,21,,C1,200,430,1,8.68,,W,1,
9,32,1,100,,,,340,0,4,28.81,1,,1,
9,32,33,80,,,,360,30,4,32.88,,E,2,
9,33,34,70,,,,400,20,4,31.5,,E,2,
9,34,35,50,,,,430,20,4,35.45,,E,2,
9,35,36,30,,,,460,20,4,33.47,,E,2,
9,36,37,180,22,,C16,530,170,4,19.87,,E,2,
9,37,38,150,23,,C16,510,310,4,17.58,,E,2,
9,38,39,120,24,,C16,470,420,4,16.77,,E,2,
9,39,40,300,25,,C16,360,670,4,15.63,,E,2,
9,40,41,160,26,,C16,280,820,4,15.67,,E,2,Not looking healthy
9,41,42,90,27,,C16,260,920,4,15.5,,E,2,
9,42,43,50,28,,C16,260,970,4,15.31,,E,2,
9,43,44,190,29,,C16,250,160,5,14.06,,E,2,
9,44,45,90,30,,C16,250,230,5,13.8,,E,2,
9,45,46,120,31,,C16,250,330,5,13.78,,E,2,
9,46,47,100,32,,C16,250,420,5,13.71,,E,2,
9,47,48,100,33,,C16,250,510,5,13.51,,E,2,
9,48,49,120,34,,C16,250,630,5,13.39,,E,2,
9,49,50,100,35,,C16,240,730,5,12.77,,E,2,
9,50,51,110,36,,C16,240,850,5,12.2,,E,2,
9,51,52,100,37,,C16,220,930,5,9.83,,E,2,
9,52,53,90,38,,C16,230,20,6,9.35,,E,2,
9,53,54,100,39,,C16,210,120,6,8.79,,E,2,
9,54,55,170,40,,C16,180,270,6,7.82,,E,2,
9,55,56,70,41,,C16,240,330,6,7.32,,E,2,
9,56,57,60,42,,C16,260,380,6,6.98,,E,2,
9,58,32,260,,,,290,0,4,35.32,2,,2,
9,58,59,40,,.,,80,70,3,28.6,,W,3,
9,59,60,100,,,,20,120,3,9.57,,W,3,
9,60,61,60,,,,490,130,9,10.13,,W,3,
9,61,62,30,,.,,480,130,9,8.74,,W,3,
9,62,63,40,43,,H2,490,150,9,8.18,,W,3,
9,63,64,20,44,,H2,490,160,9,7.11,,W,3,
9,62,65,50,,,,460,140,9,6.12,,W,3,
9,65,66,60,45,,H3,460,170,9,7.29,,W,3,
9,59,67,50,,.,,110,120,3,27.94,,W,3,
9,67,68,50,,,,120,100,3,23.48,,E,3,
9,68,69,40,,.,,110,80,3,22.03,,E,3,
9,69,70,60,,,,90,10,3,11.59,,E,3,
9,70,71,70,,,,90,60,4,9.78,,E,3,
9,71,72,70,46,,H4,70,130,4,8.03,,E,3,
9,72,73,170,47,,H4,40,300,4,7.15,,E,3,
9,73,74,130,48,,H4,20,420,4,6.25,,E,3,
9,74,75,50,49,,H4,30,460,4,5.23,,E,3,
9,69,76,80,,,,160,10,4,21.69,,E,3,
9,76,77,110,,,,190,120,4,17.46,,E,3,
9,77,78,100,50,,C15,170,210,4,15.11,,E,3,
9,78,79,60,51,,C15,170,260,4,14.98,,E,3,
9,79,80,60,52,,C15,150,320,4,15.14,,E,3,
9,80,81,80,53,,C15,150,400,4,14.81,,E,3,
9,81,82,120,54,,C15,110,520,4,14.58,,E,3,
9,82,83,170,55,,C15,70,670,4,13.15,,E,3,
9,83,84,80,56,,C15,30,750,4,13.03,,E,3,
9,84,85,60,57,,C15,0,810,4,12.85,,E,3,
9,85,86,80,58,,C15,500,880,10,12.49,,E,3,
9,86,87,80,59,,C15,490,940,10,11.9,,E,3,
9,87,88,70,60,,C15,480,0,11,12.53,,E,3,
9,88,89,80,61,,C15,470,80,11,12.18,,E,3,
9,89,90,70,62,,C15,460,150,11,11.74,,E,3,
9,90,91,70,63,,C15,440,210,11,12.32,,E,3,
9,91,92,60,64,,C15,410,280,11,11.85,,E,3,
9,92,93,80,65,,C15,380,330,11,11.09,,E,3,
9,93,94,90,66,,C15,380,410,11,11.56,,E,3,
9,94,95,190,67,,C15,410,560,11,11.17,,E,3,
9,95,96,90,68,,C15,430,630,11,11,,E,3,
9,96,97,90,69,,C15,440,710,11,9.92,,E,3,
9,97,98,180,70,,C15,420,880,11,10.64,,E,3,
9,98,99,80,71,,C15,430,920,11,9.21,,E,3,
