Vine,Tray,TrayFruit,FruitID,ShootID,VineShoot,FruitPos,Flowering,Sub-T Leaf,Height,Notes,Seed count,FAST_Date,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FrtWt,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DM,avHue,avFirm,avSSC,Comments
8,363,1,80001,1,80001,1,p,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,84.95,D1010,4.03,0.76,61.48,24.35,100.1,62.02,25.2,100.1,2.36,2.93,12.5,,18.85856079,100.1,2.645,12.5,
8,363,2,80002,1,80001,2,p,,10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,85.94,D1011,3.83,0.73,65.44,26.19,100.7,65.63,25.72,101.4,4.47,4.42,14.6,,19.06005222,101.05,4.445,14.6,
8,363,3,80003,2,80002,1,w,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,92.74,D1012,3.37,0.69,63.04,30.69,100.1,62.3,27.23,100.1,3.04,2.75,16.5,,20.47477745,100.1,2.895,16.5,
8,363,4,80004,2,80002,2,w,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,89.27,D1013,3.74,0.75,64.65,28.9,100.2,62.86,25.49,99.7,4.11,3.81,15.5,,20.05347594,99.95,3.96,15.5,
8,363,5,80005,2,80002,3,w,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,91.96,D1014,4.08,0.77,66.36,25.45,99.9,65.79,32.15,102.1,4.14,3.85,15.2,,18.87254902,101,3.995,15.2,
8,363,6,80006,4,80004,1,y,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,119.55,D1015,4.47,0.86,61.26,24.02,99.2,62.6,24.74,100,3.42,3.21,15.8,,19.2393736,99.6,3.315,15.8,
8,363,7,80007,4,80004,2,w,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,122.83,D1016,4.66,0.92,66.95,28.19,100.5,64.5,26.5,100.5,3.95,4.36,15,,19.74248927,100.5,4.155,15,
8,363,8,80008,4,80004,3,w,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,117.67,D1017,4.3,0.83,67.94,24.51,99.7,67.7,25.67,98.6,4.91,4.9,13.9,,19.30232558,99.15,4.905,13.9,
8,363,9,80009,5,80005,1,y,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,133.09,D1018,5.07,0.99,68.89,25.99,99.4,67.4,24.59,99,4.92,4.07,15,,19.52662722,99.2,4.495,15,
8,363,10,80010,5,80005,2,w,,10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,126.35,D1019,5.05,1.02,68.72,29.33,99.7,68.52,27.51,99.3,4.22,4.7,15.1,,20.1980198,99.5,4.46,15.1,
8,363,11,80011,5,80005,3,y,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,126.43,D1020,4.7,0.94,60.47,22.61,99.4,61.37,23.05,99.1,2.35,2.51,16.4,,20,99.25,2.43,16.4,
8,363,12,80012,5,80005,4,y,,10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,105.94,D1021,3.89,0.79,58.97,23.5,98.9,58.64,22.39,99.1,2.05,1.95,16.5,,20.30848329,99,2,16.5,
8,363,13,80013,6,80006,1,y,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,132.8,D1022,4.57,0.83,64.21,30.77,99.1,62.9,27.92,99.7,3.61,4.28,14.8,,18.1619256,99.4,3.945,14.8,
8,363,14,80014,6,80006,2,y,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,123.5,D1023,4.2,0.76,61.07,26.43,99.1,61.66,26.47,99.6,3.72,3.82,15.3,,18.0952381,99.35,3.77,15.3,
8,363,15,80015,6,80006,3,y,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,123.93,D1024,4.12,0.77,62.64,25.2,99.6,61.86,26.69,100.1,4.04,3.61,15.4,,18.68932039,99.85,3.825,15.4,
8,363,16,80016,6,80006,4,y,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,119.55,D1025,4.35,0.78,60.68,30.37,99.6,60.96,25.32,99.9,2.69,3.07,15.4,,17.93103448,99.75,2.88,15.4,
8,363,17,80017,7,80007,1,w,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,102.5,D1026,4.1,0.78,66.03,26.79,99.5,64.57,25.39,99.3,4.5,4.86,14.6,,19.02439024,99.4,4.68,14.6,
8,363,18,80018,7,80007,2,w,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,363,,99.73,D1027,4.58,0.87,66.56,28.84,99.2,65.47,25.71,99.8,4.3,4.57,14.3,,18.99563319,99.5,4.435,14.3,
8,364,1,80019,8,80008,1,w,,-10,fell off before pick,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,80.09,D3030,4.59,0.8,61.78,24.48,100.8,60.75,20.67,100.4,3.9,3.38,14.8,,17.4291939,100.6,3.64,14.8,
8,364,2,80020,8,80008,2,w,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,91.54,D3031,4.01,0.72,67.48,30.32,99.6,66.29,29.09,100.1,5.92,5.48,14.2,,17.95511222,99.85,5.7,14.2,
8,364,3,80021,8,80008,3,w,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,87.7,D3032,3.96,0.69,62.82,24.81,100,63.45,23.12,99.3,4.52,4.24,14.8,,17.42424242,99.65,4.38,14.8,
8,364,4,80022,8,80008,4,w,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,66.82,D3033,3.54,0.6,62.21,28.29,100.1,64.28,30.66,100.2,5.37,4.65,14.4,,16.94915254,100.15,5.01,14.4,
8,364,5,80023,8,80008,5,w,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,92.63,D3034,4.34,0.74,65.06,32.4,99.9,63.52,29.11,100,3.32,4.13,15.8,,17.05069124,99.95,3.725,15.8,
8,364,6,80024,9,80009,1,y,,10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,132.25,D3035,5.98,1.09,66.06,28.98,98.7,65.89,27.02,98.8,4.65,5.33,15,,18.22742475,98.75,4.99,15,
8,364,7,80025,9,80009,2,y,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,96.34,D3036,4.52,0.77,61.47,28.7,99.1,62.85,29.06,99.4,4.29,3.96,14.8,,17.03539823,99.25,4.125,14.8,
8,364,8,80026,10,80010,1,w,,-10,dieback,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,72.21,D3037,4.52,0.76,67.09,27.38,100.4,66.56,25.87,99.8,6.15,5.52,13.8,,16.81415929,100.1,5.835,13.8,
8,364,9,80027,10,80010,2,p,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,96.91,D3038,6.73,1.21,67.83,30.06,99.6,68.29,27.09,99.3,6.36,5.97,11.8,,17.97919762,99.45,6.165,11.8,
8,364,10,80028,10,80010,3,p,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,87.89,D3039,4.66,0.81,65.8,26.5,100.4,63.03,26.66,100.4,5.04,5.72,14.2,,17.38197425,100.4,5.38,14.2,
8,364,11,80029,11,80011,1,w,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,92.63,D3040,4.79,0.84,72.35,26.94,99.3,73.58,25.64,99.1,4.15,3.85,14.8,,17.53653445,99.2,4,14.8,
8,364,12,80030,11,80011,2,,,,Missing,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,,,,,,,,,,,,,,,,,,,NF
8,364,13,80031,11,80011,3,w,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,85.83,D3041,4.02,0.69,67,29.69,99.7,64.64,24.43,100.2,4,5.16,14.4,,17.1641791,99.95,4.58,14.4,
8,364,14,80032,12,80012,1,y,,10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,132.47,D3042,5.13,0.91,64.24,29.87,99.6,64.06,26.51,100.1,7.87,5.89,14,,17.73879142,99.85,6.88,14,
8,364,15,80033,12,80012,2,y,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,127.05,D3043,6.26,1.09,68.67,30.69,99.9,67.92,26.14,99,5.76,5.08,13.8,,17.41214058,99.45,5.42,13.8,
8,364,16,80034,12,80012,3,y,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,127.41,D3044,6.35,1.13,69.3,33.04,99.9,69.49,25.89,99,5.01,4.95,14,,17.79527559,99.45,4.98,14,
8,364,17,80035,12,80012,4,y,,10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,145.4,D3045,7.31,1.26,68.61,28.7,99.9,69.31,27.03,98.6,4.88,4.45,13.2,,17.23666211,99.25,4.665,13.2,
8,364,18,80036,12,80012,5,y,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,364,,139.42,D3046,6.29,1.1,70.65,29.67,99.6,70.31,24.9,97.6,4.72,4.59,13.6,,17.48807631,98.6,4.655,13.6,
8,365,1,80037,12,80012,6,y,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,126.67,d2890,5.92,1.04,72.09,28.91,100.2,70.06,25.41,99.3,4.86,4.42,13.4,,17.56756757,99.75,4.64,13.4,
8,365,2,80038,13,80013,1,,,,missing,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,,,,,,,,,,,,,,,,,,,NF
8,365,3,800381,13,80013,2,y,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,101.72,d2891,4.54,0.76,62.32,24.19,100.5,60.07,25.69,99.5,4.28,4.03,14.9,,16.74008811,100,4.155,14.9,
8,365,4,80039,13,80013,3,w,,-20,shrivelled pedicle,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,110.42,d2892,5.52,0.93,58.49,27.77,99.6,56.35,24.36,99.7,3.31,2.85,15,,16.84782609,99.65,3.08,15,
8,365,5,80040,14,80014,1,w,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,116.89,d2893,4.97,0.89,64.27,28.79,96,66.99,29.97,100.1,3.03,3.55,14.3,,17.90744467,98.05,3.29,14.3,
8,365,6,80041,14,80014,2,y,,10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,138.73,d2894,5.9,1.07,72.11,26.77,99.2,71.72,26.28,98.2,5.95,5.41,13,,18.13559322,98.7,5.68,13,
8,365,7,80042,14,80014,3,y,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,116.56,d2895,5.39,0.95,69.11,29.62,99.1,67.31,25.42,98.1,5.15,4.85,13.8,,17.62523191,98.6,5,13.8,
8,365,8,80043,14,80014,4,y,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,114.6,d2896,5.3,0.95,69.69,29.1,99.4,70.39,27.7,99.3,5.17,5.37,13.9,,17.9245283,99.35,5.27,13.9,
8,365,9,80044,15,80015,1,y,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,124.36,d2897,5.61,0.98,69.01,28.25,98.4,67.55,30.67,99,5.26,6.9,13,,17.4688057,98.7,6.08,13,
8,365,10,80045,15,80015,2,y,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,108.48,d2898,5.77,1.01,67.89,27.37,99.3,67.77,26.69,99,5.88,5.69,14.2,,17.50433276,99.15,5.785,14.2,
8,365,11,80046,15,80015,3,y,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,158.6,d2899,7.55,1.33,67.11,32.88,99.8,66.78,28.85,98.2,4.66,5.3,14.3,,17.61589404,99,4.98,14.3,
8,365,12,80047,15,80015,4,y,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,175.27,d2900,6.63,1.11,55.88,26.72,98.1,57.14,23.95,99.2,3.51,3.07,14.6,,16.74208145,98.65,3.29,14.6,
8,365,13,80048,15,80015,5,y,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,152.55,d2901,7.23,1.25,69.3,33.07,100.1,68.02,25.53,99.9,5.34,6.38,14.2,,17.28907331,100,5.86,14.2,
8,365,14,80049,16,80016,1,r,,-10,,x,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,124.48,d2902,5.46,0.93,69.97,31.52,101.6,71.66,25.96,100.2,6.56,6.69,13.1,,17.03296703,100.9,6.625,13.1,
8,365,15,80050,16,80016,2,b,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,126.17,d2903,5.97,1.09,69.82,32.69,99.9,68.13,31.33,99.9,7.64,6.57,13.3,,18.25795645,99.9,7.105,13.3,
8,365,16,80051,16,80016,3,b,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,102.31,d2904,4.44,0.79,59.96,24.65,98.9,60.63,26.67,99.5,3.48,3.35,16,,17.79279279,99.2,3.415,16,
8,365,17,80052,16,80016,4,b,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,125.44,d4920,5.22,0.95,65.85,28.45,97.6,64.66,32.73,98.8,5.21,5.01,14.6,,18.19923372,98.2,5.11,14.6,
8,365,18,80053,16,80016,5,b,,-30,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,365,,132.23,d4921,6.07,1.12,67.98,33.47,99.6,68.29,28.76,99.7,5.97,5.25,14.2,,18.45140033,99.65,5.61,14.2,
8,366,1,80054,16,80016,6,b,,-20,,x,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,366,,126.95,D5064,5.12,0.92,65.64,32.56,99.9,65.85,28.17,99.1,5.37,5.36,14.2,,17.96875,99.5,5.365,14.2,
8,366,2,80055,17,80017,1,bl,,-20,,x,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,366,,115.67,D5065,4.65,0.87,64.91,30.41,98.5,66.5,31.17,98.7,4.16,3.91,15.7,,18.70967742,98.6,4.035,15.7,
8,366,3,80056,17,80017,2,b,,-20,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,366,,109.65,D5066,4.98,0.94,63.24,34.86,99.6,61.25,27.96,98.2,4.25,4.92,15.6,,18.87550201,98.9,4.585,15.6,
8,366,4,80057,17,80017,3,bl,,-20,,x,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,366,,114.41,D5067,4.75,0.93,60.92,28.46,98.8,61.51,28.88,99.6,3.82,4.4,16.4,,19.57894737,99.2,4.11,16.4,
8,366,5,80058,17,80017,4,bl,,-20,,x,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,366,,122.28,D5068,5.07,1.01,55.81,35.33,98.2,55.65,32.63,94.6,2.82,2.83,17.3,,19.92110454,96.4,2.825,17.3,
8,366,6,80059,20,80020,1,y,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,366,,88.21,D5069,4.33,0.89,61.3,27.12,101,61.11,23.55,99.9,2.31,3.67,16.1,,20.55427252,100.45,2.99,16.1,
8,366,7,80060,20,80020,2,b,,-10,,,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,366,,94.51,D5070,3.97,0.82,59.97,28.11,100,59.33,28.36,99.9,2.58,2.23,16.4,,20.65491184,99.95,2.405,16.4,
8,366,8,80061,20,80020,3,b,,-10,,x,6/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,8,366,,123.14,D5071,4.87,0.98,62.05,24.43,98.8,60.26,30.46,99.9,4.32,3.35,16.2,,20.12320329,99.35,3.835,16.2,
