Sample ID,Fruit #,Tray#,Fruit Number,Subsample (n=50) seed,Total Seed Weight (g),Mean Total Seed Count,Comments,CarpelCount,FrtWt,FWslice,DWslice,L1_Frt1,Chroma1_Frt1,Hue1_Frt1,L2_Frt1,Chroma2_Frt1,Hue2_Frt1,Firm1_Frt1,Firm2_Frt1,SSC1_Frt1,DM,avHue,avFirm,avSSC
134158,6,161,40006,0.0709,0.3395,239, ,,138.68,5.65,1.06,63.97,23.83,99.7,58.2,22.49,100.2,3.24,3.09,15.2,18.76,99.95,3.17,15.2
134159,3,162,40020,0.0687,0.5714,416,,,143.1,8.15,1.5,66.81,25.37,99.4,66,23.81,99.4,4.39,3.98,15,18.4,99.4,4.19,15
134159,7,162,40024,0.0675,0.4976,369,,,121.95,7.81,1.45,58.74,22.79,100.1,60.21,23.97,99.6,2.75,2.74,16,18.57,99.85,2.75,16
134159,10,162,40027,0.0697,0.5459,392,,,136.43,8.18,1.54,57.8,21.17,99.9,57.1,21.65,99.5,2.19,2.06,16.3,18.83,99.7,2.13,16.3
134160,1,163,40036,0.0687,0.6979,508,,,143.45,5.45,1.07,62.15,28.25,98.7,62.58,24.89,99.6,2.53,2.13,15,19.63,99.15,2.33,15
134160,2,163,40037,0.0734,0.6737,459,,,139.97,5.36,1.06,64.19,28.78,99.7,62.13,26.42,99.6,2.11,2.22,17,19.78,99.65,2.17,17
134161,18,164,40070,0.0681,0.4182,307,,,114.92,4.35,0.8,65.5,23.09,100.7,66.02,28.74,101.1,4.66,4.51,15,18.39,100.9,4.59,15
134162,18,165,40088,0.0607,0.5713,471,,,110.4,6.83,1.26,68.61,26.74,99.7,68.1,25.55,100,5.25,4.85,14.2,18.45,99.85,5.05,14.2
134163,3,166,40091,0.0683,0.254,186,,,86.57,6.01,1.05,60.33,26.74,100.5,61.32,23.61,100.6,5.52,5.16,14.2,17.47,100.55,5.34,14.2
134165,10,168,40134,0.0677,0.3754,277,,,126.07,8.57,1.56,68.55,22.56,99.1,69.59,27.18,100.2,5.73,4.65,14,18.2,99.65,5.19,14
134165,15,168,40135,0.0675,0.3636,269,,,116.55,4.11,0.77,65.9,24.29,99.5,63.89,22.04,99.3,3.19,2.59,15.2,18.73,99.4,2.89,15.2
134174,4,177,40290,0.0641,0.3117,243,,,104.97,6.97,1.27,61.01,27.6,99.2,61.73,26.85,99.8,3.75,3.19,15.5,18.22,99.5,3.47,15.5
134175,7,178,40311,0.0631,0.2977,236,,,83.29,5.31,1,59.03,27.3,100.4,59.77,26.69,100.2,2.58,2.65,16.1,18.83,100.3,2.62,16.1
134177,12,180,40351,0.0633,0.3739,295,,,95.83,6.09,1.13,61.4,28.11,100.1,59.17,27.25,100.2,2.7,2.64,16,18.56,100.15,2.67,16
134178,7,181,40364,0.0685,0.3346,244,,,91.88,6.49,1.07,71.19,32.53,101.7,71.22,24.47,99.9,6.36,5.71,11,16.49,100.8,6.04,11
134180,9,183,40402,0.0707,0.426,301,,,101.03,4.21,0.71,73.45,32.18,102.3,73.62,32.33,101.3,6.42,6.61,10,16.86,101.8,6.52,10
134183,14,186,40460,0.0668,0.4809,360,,,129.8,4.63,0.85,67.41,25.99,99,67.13,24.15,99.6,4.27,3.86,15,18.36,99.3,4.07,15
134184,14,187,40478,0.0724,0.3533,244,,,105.87,7,1.26,69.45,26.99,99.9,68.17,22.74,99.5,5.97,5.47,13.9,18,99.7,5.72,13.9
134185,13,188,40495,0.0738,0.5426,368,,,141.47,8.36,1.53,63.8,25.41,98.5,61.88,23.88,99.1,3.89,3.88,16,18.3,98.8,3.89,16
134186,7,189,40507,0.0685,0.4836,353,,,119.68,5.13,0.92,65.99,32.89,100,64.9,35.64,100,5.02,4.04,14.5,17.93,100,4.53,14.5
