Vine,FruitID,Combined,ShootID,FruitPos,Flowering,Sub-T Leaf,Height,Notes,SampleID,FruitNo,FAST_Date,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FrtWt,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DM,avHue,avFirm,avSSC,Comments,Blk seed,Red Spread,Red Int Inner,Red Int Outer,Yellow(FAST),CoreFirm,Rot,Bomb,LTB,Shrivel,SampleSSCAvg,SampleSSCMin,SampleSSCMax,SampleSSCPass,Flatplate_1,Flatplate_2,Pericarp_Firm,Frt_Diam_W1,Frt_Diam_W2,Frt_Length,nonD_Firm_1,nonD_Firm_2,Firm_Gun_1,Firm_Gun_2,Seed_Wt_Total,Seed_Wt_Sub,Full_Seed_Wt_Sub,Full_Seed_Count_Sub,Empty_Seed_Count_Sub
4,1,40001,3,1,w,m,-10,,134158,1,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,129.23,D0216,7.2,1.4,62.3,23.6,99.4,63.2,23.8,99.7,3.4,3.3,15.6,,19.6,99.6,3.3,15.63,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,2,40002,3,2,w,l,-10,,134158,2,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,114.74,D0217,4.5,0.9,63.8,26.6,100.4,64.3,24.2,100.0,3.3,3.6,15.2,,19.9,100.2,3.5,15.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,3,40003,3,3,p,l,-10,,134158,3,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,108.92,D0218,4.3,0.8,64.3,29.5,100.2,60.0,24.8,99.8,3.8,3.5,15.1,,19.6,100.0,3.6,15.1,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,4,40004,4,1,w,m,-10,,134158,4,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,124.41,D0219,4.6,0.9,61.9,26.9,100.2,63.4,25.0,99.7,2.6,2.2,16.1,,18.7,100.0,2.4,16.1,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,5,40005,4,2,w,n,-20,,134158,5,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,132.32,D0220,4.3,0.9,63.7,22.7,100.2,63.7,28.3,100.1,3.0,2.8,15.8,,19.6,100.2,2.9,15.8,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,6,40006,4,3,w,l,-10,,134158,6,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,138.68,D0221,5.7,1.1,64.0,23.8,99.7,58.2,22.5,100.2,3.2,3.1,15.2,,18.8,100.0,3.2,15.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,7,40007,4,4,w,l,-20,,134158,7,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,104.30,D0222,3.4,0.6,56.9,23.6,100.2,61.7,24.3,98.8,2.5,2.6,16.0,,17.5,99.5,2.5,16,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,8,40008,4,5,w,l,-10,,134158,8,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,108.47,D0223,4.3,0.8,62.9,22.9,99.6,61.4,24.9,100.7,2.9,3.2,15.4,,17.4,100.2,3.0,15.4,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,9,40009,5,1,w,n,-10,,134158,9,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,99.64,D0224,4.3,0.8,61.6,25.0,99.6,68.8,27.1,101.0,3.9,3.2,15.2,,18.2,100.3,3.6,15.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,10,40010,5,2,w,n,-10,,134158,10,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,112.44,D0225,5.5,1.0,68.6,25.6,100.8,63.5,27.4,100.2,5.4,4.9,13.4,,17.9,100.5,5.2,13.4,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,101,40101,5,3,w,n,10,,134158,11,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,113.34,D0226,4.5,0.8,63.8,25.4,100.5,60.6,26.4,100.4,3.9,3.4,15.3,,17.9,100.5,3.7,15.3,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,11,40011,5,4,w,n,-10,,134158,12,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,99.93,D0227,4.5,0.8,62.6,28.1,101.3,67.4,31.1,99.5,3.3,3.4,15.2,,17.6,100.4,3.4,15.215,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,12,40012,6,1,w,n,10,,134158,13,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,131.43,D0228,4.4,0.8,66.1,29.2,100.0,66.8,29.6,99.6,4.1,4.9,14.8,,17.6,99.8,4.5,14.8,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,13,40013,6,2,p,n,-20,,134158,14,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,132.82,D0229,5.0,0.9,63.6,29.5,99.2,65.6,24.2,100.7,5.4,4.7,16.2,,17.6,100.0,5.1,16.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,14,40014,7,1,.,n,-10,,134158,15,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,131.31,D0230,4.5,0.9,65.4,26.7,99.8,61.7,24.2,100.1,3.0,2.2,16.0,,19.8,100.0,2.6,16,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,15,40015,7,2,y,n,-10,,134158,16,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,129.68,D0231,4.6,0.9,59.9,21.3,100.4,60.6,20.7,100.6,2.3,2.1,17.0,,18.9,100.5,2.2,17,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,16,40016,7,3,y,n,-10,,134158,17,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,136.91,D0232,5.1,1.0,60.2,22.8,100.2,56.6,21.7,98.6,1.8,1.7,18.0,,20.0,99.4,1.7,18,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,17,40017,7,4,y,n,10,,134158,18,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,161,,121.45,D0233,4.1,0.8,57.4,21.3,99.6,56.5,19.5,99.9,1.3,1.2,17.5,,19.3,99.8,1.2,17.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,18,40018,8,1,y,n,-10,,134159,1,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,162,,145.21,D1189,8.5,1.7,62.7,23.9,99.4,63.2,22.7,99.2,2.3,2.1,14.1,,20.1,99.3,2.2,14.1,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
