SampleID,FruitNo,FAST_Date,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FrtWt,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DM,avHue,avFirm,avSSC,Comments,Blk seed,Red Spread,Red Int Inner,Red Int Outer,Yellow(FAST),CoreFirm,Rot,Bomb,LTB,Shrivel,SampleSSCAvg,SampleSSCMin,SampleSSCMax,SampleSSCPass,Flatplate_1,Flatplate_2,Pericarp_Firm,Frt_Diam_W1,Frt_Diam_W2,Frt_Length,nonD_Firm_1,nonD_Firm_2,Firm_Gun_1,Firm_Gun_2,Seed_Wt_Total,Seed_Wt_Sub,Full_Seed_Wt_Sub,Full_Seed_Count_Sub,Empty_Seed_Count_Sub,,,,,,,,,,
134465,1,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,91.78,D0378,3.7,0.7,59.3,33.1,101.1,58.1,30.4,101.2,2.7,2.9,16.0,,19.1,101.2,2.8,16,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134465,2,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,126.73,D0379,5.2,1.0,61.6,27.1,99.9,61.0,25.8,99.4,3.1,2.5,16.0,,19.8,99.7,2.8,16,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134465,3,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,126.80,D0380,4.8,0.9,62.1,33.2,100.2,63.0,29.2,99.8,2.8,2.1,16.0,,19.7,100.0,2.4,16,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134465,4,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,125.81,D0381,4.7,1.0,60.5,25.6,99.1,56.2,26.2,99.1,1.4,1.6,17.0,,20.7,99.1,1.5,17,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134465,5,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,137.60,D0382,5.1,1.0,59.8,26.8,99.2,61.9,24.3,99.1,1.8,1.8,16.5,,20.6,99.2,1.8,16.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134465,6,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,112.21,D0383,4.4,0.9,61.3,26.0,99.6,61.4,23.3,98.9,2.4,2.2,16.0,,20.2,99.3,2.3,16,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134465,7,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,123.34,D0384,4.7,1.0,61.4,21.4,99.6,59.6,23.4,99.6,1.9,1.7,16.5,,20.5,99.6,1.8,16.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134465,8,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,102.04,D0385,4.2,0.8,64.2,26.1,98.6,62.8,28.6,98.7,2.8,2.2,16.0,,19.7,98.7,2.5,16,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134465,9,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,91.24,D0386,3.9,0.7,58.3,24.6,100.1,58.0,21.9,99.9,2.3,2.2,16.0,,18.9,100.0,2.2,16,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134465,10,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,111.04,D0387,4.2,0.8,54.4,25.5,99.4,55.6,22.6,99.6,1.5,1.8,18.0,,18.8,99.5,1.7,18,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
