vine_id,from,to,length,to_shoot_id,spur,cane_id,x,y,quadrant,diameter,to_origin_id,orientation,base_origin_id,notes
1,1,2,250,,,,180,310,3,,,W,1,
1,2,3,180,,,,120,500,3,,,W,1,
1,3,4,100,1,,2,100,590,3,,,W,1,
1,4,5,70,2,,2,100,650,3,,,W,1,
1,5,6,100,3,,2,90,750,3,,,W,1,
1,6,7,90,4,,2,110,830,3,,,W,1,
1,7,8,90,5,,2,120,920,3,,,W,1,
1,8,9,60,6,,2,140,990,3,,,W,1,
1,9,10,90,7,,2,160,80,2,,,W,1,
1,10,11,100,8,,2,180,180,2,,,W,1,
1,11,12,60,9,,2,180,230,2,,,W,1,
1,12,13,150,10,,2,200,370,2,,,W,1,
1,13,14,90,11,,2,220,470,2,,,W,1,
1,14,15,80,12,,2,230,560,2,,,W,1,
1,15,16,230,13,,2,250,770,2,,,W,1,
1,16,17,280,14,,2,230,1050,2,,,W,1,
1,18,1,100,,,,240,280,3,,1,,1,
1,18,19,110,,,,390,270,3,,,W,2,
1,19,20,220,15,,,460,420,3,,,W,2,
1,20,21,80,16,,,530,480,3,,,W,2,
1,21,22,120,17,,,540,600,3,,,W,2,
1,22,23,10,18,,,540,600,3,,,W,2,
1,23,24,160,,,,540,710,3,,,W,2,
1,24,25,210,19,,1,370,850,3,,,W,2,
1,25,26,80,20,,1,320,950,3,,,W,2,
1,26,27,110,21,,1,300,80,2,,,W,2,
1,27,28,40,22,,1,300,110,2,,,W,2,
1,28,29,230,23,,1,280,300,2,,,W,2,
1,29,30,100,24,,1,280,390,2,,,W,2,
1,30,31,90,25,,1,320,80,1,,,W,2,
1,31,32,50,26,,1,320,120,1,,,W,2,
1,32,33,60,27,,1,330,180,1,,,W,2,
1,33,34,150,28,,1,350,330,1,,,W,2,
1,34,35,100,29,,1,360,430,1,,,W,2,
1,35,36,50,30,,1,380,480,1,,,W,2,
1,36,37,100,31,,1,400,580,1,,,W,2,
1,37,38,90,32,,1,400,670,1,,,W,2,
1,38,39,90,33,,1,410,760,1,,,W,2,
1,39,40,120,34,,1,420,880,1,,,W,2,
1,40,41,80,35,,1,420,960,1,,,W,2,
1,42,18,150,,,,270,210,3,,2,,2,
1,42,43,190,,,,580,110,9,,,W,3,
1,43,44,120,,,,410,120,9,,,W,3,
1,44,45,90,,,,360,200,9,,,W,3,
1,45,46,20,36,,,340,160,9,,,W,3,
1,46,47,20,37,,,320,170,9,,,W,3,
1,47,48,50,38,,,260,180,9,,,W,3,
1,49,42,30,,,,200,30,3,,3,,3,
1,49,50,150,,,,300,110,4,,,E,4,
1,50,51,250,39,,,480,320,4,,,E,4,
1,51,52,160,,,,450,470,4,,,E,4,
1,52,53,130,40,,16,380,570,4,,,E,4,
1,53,54,70,41,,16,350,630,4,,,E,4,
1,54,55,190,42,,16,230,760,4,,,E,4,
1,55,56,60,43,,16,190,790,4,,,E,4,
1,56,57,80,44,,16,130,850,4,,,E,4,
1,57,58,100,45,,16,110,950,4,,,E,4,
1,58,59,50,46,,16,90,0,5,,,E,4,
1,59,60,100,47,,16,60,110,5,,,E,4,
1,60,61,80,48,,16,50,180,5,,,E,4,
1,61,62,50,49,,16,40,220,5,,,E,4,
1,62,63,190,50,,16,20,420,5,,,E,4,
1,63,64,50,51,,16,20,480,5,,,E,4,
1,64,65,160,52,,16,20,640,5,,,E,4,
1,65,66,60,53,,16,10,680,5,,,E,4,
1,66,67,190,54,,16,10,860,5,,,E,4,
1,67,68,60,55,,16,10,920,5,,,E,4,
1,68,69,80,56,,16,30,30,6,,,E,4,
1,69,70,100,57,,16,40,140,6,,,E,4,
1,70,71,80,58,,16,40,190,6,,,E,4,
1,71,72,200,59,,16,430,340,12,,,E,4,
1,72,73,90,60,,16,390,390,12,,,E,4,
1,73,74,120,61,,16,340,440,12,,,E,4,
1,75,49,160,,,,200,10,4,,4,,4,
1,75,76,150,,,,130,150,4,,,W,5,
1,76,77,330,62,,,400,50,3,,,W,5,
1,77,78,100,63,,,430,100,3,,,W,5,
1,78,79,130,64,,,540,200,3,,,W,5,
1,79,80,70,65,,,570,350,3,,,W,5,
1,76,81,50,,,,150,130,4,,,E,5,
1,81,82,30,318,,,160,170,4,,,E,5,
1,82,83,150,,,,180,350,4,,,E,5,
1,83,84,100,319,,,310,380,4,,,E,5,
1,83,85,60,,,,190,420,4,,,E,5,
1,85,86,160,321,,15,60,480,4,,,E,5,
1,86,87,150,322,,15,500,620,10,,,E,5,
1,87,88,70,323,,15,430,650,10,,,E,5,
1,88,89,130,324,,15,380,800,10,,,E,5,
1,89,90,70,325,,15,370,860,10,,,E,5,
1,90,91,310,326,,15,320,160,11,,,E,5,
1,91,92,130,327,,15,280,300,11,,,E,5,
1,92,93,60,328,,15,270,330,11,,,E,5,
1,93,94,40,329,,15,250,400,11,,,E,5,
1,94,95,60,330,,15,240,460,11,,,E,5,
1,95,96,110,331,,15,230,580,11,,,E,5,
1,96,97,90,332,,15,170,660,11,,,E,5,
1,97,98,50,333,,15,190,700,11,,,E,5,
1,98,99,60,334,,15,150,790,11,,,E,5,
1,99,100,100,335,,15,140,870,11,,,E,5,
1,100,101,60,336,,15,160,920,11,,,E,5,
1,101,102,70,337,,15,180,50,12,,,E,5,
1,102,103,70,338,,15,180,100,12,,,E,5,
1,103,104,130,339,,15,140,190,12,,,E,5,
1,104,105,60,340,,15,100,260,12,,,E,5,
1,105,106,60,341,,15,90,290,12,,,E,5,
1,106,107,250,342,,15,150,420,12,,,E,5,
1,85,108,20,,,,240,440,4,,,E,5,
1,108,109,200,320,,,450,320,4,,,E,5,
1,110,75,170,,,,60,30,4,,5,,5,
