vine_id,from,to,length,to_shoot_id,spurs,cane_id,x,y,quadrant,diameter,to_origin_id,orientation,base_origin_id,notes
7,1,2,80,,.,,,,,,,E,1,
7,2,3,90,,,,,,,,,E,1,
7,3,4,70,,.,,,,,,,E,1,
7,4,5,60,1,,,,,,,,E,1,
7,4,6,40,,,,,,,,,E,1,
7,6,7,40,,,,,,,,,E,1,
7,7,8,70,2,,,,,,,,E,1,
7,2,9,110,,.,,,,,,,E,1,
7,9,10,30,,,,,,,,,E,1,
7,10,11,10,3,,,,,,,,E,1,
7,11,12,60,4,,,,,,,,E,1,
7,9,13,90,,,,,,,,,E,1,
7,13,14,50,,.,,,,,,,E,1,
7,14,15,40,,,,,,,,,E,1,
7,15,16,40,,,,,,,,,E,1,
7,16,17,50,5,,,,,,,,E,1,
7,14,18,10,,,,,,,,,E,1,
7,18,19,330,,.,16,,,,,,E,1,
7,19,20,90,,,16,,,,,,E,1,
7,20,21,60,6,,16,,,,,,E,1,
7,19,22,190,,.,16,,,,,,E,1,
7,22,23,60,,,16,,,,,,E,1,
7,23,24,90,7,,16,,,,,,E,1,
7,24,25,40,8,,16,,,,,,E,1,
7,22,26,60,,.,16,,,,,,E,1,
7,26,27,140,,,16,,,,,,E,1,
7,27,28,100,9,,16,,,,,,E,1,
7,26,29,210,,.,16,,,,,,E,1,
7,29,30,40,,,16,,,,,,E,1,
7,30,31,80,10,,16,,,,,,E,1,
7,29,32,160,,.,16,,,,,,E,1,
7,32,33,60,,,16,,,,,,E,1,
7,33,34,50,11,,16,,,,,,E,1,
7,32,35,60,,.,16,,,,,,E,1,
7,35,36,50,,,16,,,,,,E,1,
7,36,37,60,12,,16,,,,,,E,1,
7,35,38,190,,.,16,,,,,,E,1,
7,38,39,70,,,16,,,,,,E,1,
7,39,40,130,13,,16,,,,,,E,1,
7,38,41,150,,.,16,,,,,,E,1,
7,41,42,20,,,16,,,,,,E,1,
7,42,43,30,14,,16,,,,,,E,1,
7,43,44,30,15,,16,,,,,,E,1,
7,41,45,160,,.,16,,,,,,E,1,
7,45,46,140,,,16,,,,,,E,1,
7,46,47,100,16,,16,,,,,,E,1,
7,45,48,70,,.,16,,,,,,E,1,
7,48,49,70,,,16,,,,,,E,1,
7,49,50,40,17,,16,,,,,,E,1,
7,50,51,90,18,,16,,,,,,E,1,
7,48,52,70,,.,16,,,,,,E,1,
7,52,53,90,,,16,,,,,,E,1,
7,53,54,70,19,,16,,,,,,E,1,
7,52,55,240,,.,16,,,,,,E,1,
7,55,56,40,,,16,,,,,,E,1,
7,56,57,50,20,,16,,,,,,E,1,
7,55,58,180,,.,16,,,,,,E,1,
7,58,59,140,,,16,,,,,,E,1,
7,59,60,40,21,,16,,,,,,E,1,
7,60,61,20,22,,16,,,,,,E,1,
7,58,62,120,,.,16,,,,,,E,1,
7,62,63,30,,,16,,,,,,E,1,
7,63,64,40,23,,16,,,,,,E,1,
7,64,65,50,24,,16,,,,,,E,1,
7,62,66,200,,.,16,,,,,,E,1,
7,66,67,40,,,16,,,,,,E,1,
7,67,68,30,25,,16,,,,,,E,1,
7,68,69,20,26,,16,,,,,,E,1,
7,69,70,60,27,,16,,,,,,E,1,
7,71,1,90,,,,,,,,1,,1,
7,71,72,30,,,,,,,,,E,2,
7,72,73,40,,.,,,,,,,E,2,
7,73,74,30,,,,,,,,,E,2,
7,74,75,60,28,,,,,,,,E,2,
7,73,76,10,,,,,,,,,E,2,
7,76,77,60,,,,,,,,,E,2,
7,77,78,70,29,,,,,,,,E,2,
7,79,71,80,,,,,,,,2,,2,
7,79,80,140,,,,,,,,,W,3,
7,80,81,80,,.,1,,,,,,W,3,
7,81,82,40,,,1,,,,,,W,3,
7,82,83,80,30,,1,,,,,,W,3,
7,81,84,210,,.,1,,,,,,W,3,
7,84,85,80,,,1,,,,,,W,3,
7,85,86,110,31,,1,,,,,,W,3,
7,84,87,150,,.,1,,,,,,W,3,
7,87,88,50,,,1,,,,,,W,3,
7,88,89,70,32,,1,,,,,,W,3,
7,89,90,10,33,,1,,,,,,W,3,
7,87,91,60,,.,1,,,,,,W,3,
7,91,92,60,,,1,,,,,,W,3,
7,92,93,120,34,,1,,,,,,W,3,
7,91,94,330,,.,1,,,,,,W,3,
7,94,95,60,,,1,,,,,,W,3,
7,95,96,80,35,,1,,,,,,W,3,
7,94,97,130,,.,1,,,,,,W,3,
7,97,98,30,,,1,,,,,,W,3,
7,98,99,100,37,,1,,,,,,W,3,
7,99,100,60,38,,1,,,,,,W,3,
7,97,101,50,,.,1,,,,,,W,3,
7,101,102,30,,,1,,,,,,W,3,
7,102,103,80,36,,1,,,,,,W,3,
7,101,104,100,,.,1,,,,,,W,3,
7,104,105,30,,,1,,,,,,W,3,
7,105,106,80,39,,1,,,,,,W,3,
7,104,107,150,,.,1,,,,,,W,3,
7,107,108,80,,,1,,,,,,W,3,
7,108,109,60,40,,1,,,,,,W,3,
7,107,110,60,,.,1,,,,,,W,3,
7,110,111,120,,,1,,,,,,W,3,
7,111,112,90,41,,1,,,,,,W,3,
7,110,113,230,,.,1,,,,,,W,3,
7,113,114,40,,,1,,,,,,W,3,
7,114,115,80,42,,1,,,,,,W,3,
7,113,116,180,,.,1,,,,,,W,3,
7,116,117,60,,,1,,,,,,W,3,
7,117,118,80,43,,1,,,,,,W,3,
7,118,119,60,44,,1,,,,,,W,3,
7,116,120,80,,.,1,,,,,,W,3,
7,120,121,90,,,1,,,,,,W,3,
7,121,122,60,45,,1,,,,,,W,3,
7,120,123,130,,.,1,,,,,,W,3,
7,123,124,60,,,1,,,,,,W,3,
7,124,125,80,46,,1,,,,,,W,3,
7,123,126,90,,.,1,,,,,,W,3,
7,126,127,80,,,1,,,,,,W,3,
7,127,128,80,47,,1,,,,,,W,3,
7,129,79,80,,,,,,,,3,,3,
7,129,130,60,,,,,,,,,W,4,
7,130,131,120,,,,,,,,,W,4,
7,131,132,50,48,,,,,,,,W,4,
7,132,133,40,49,,,,,,,,W,4,
7,134,129,100,,,,,,,,4,,4,
7,134,135,110,,,,,,,,,W,5,
7,135,136,70,50,,2,,,,,,W,5,
7,136,137,190,,.,2,,,,,,W,5,
7,137,138,40,,,2,,,,,,W,5,
7,138,139,80,51,,2,,,,,,W,5,
7,137,140,180,,.,2,,,,,,W,5,
7,140,141,80,,,2,,,,,,W,5,
7,141,142,130,52,,2,,,,,,W,5,
7,140,143,170,,.,2,,,,,,W,5,
7,143,144,20,,,2,,,,,,W,5,
7,144,145,60,53,,2,,,,,,W,5,
7,143,146,120,,.,2,,,,,,W,5,
7,146,147,30,,,2,,,,,,W,5,
7,147,148,80,54,,2,,,,,,W,5,
7,146,149,40,,.,2,,,,,,W,5,
7,149,150,20,,,2,,,,,,W,5,
7,150,151,70,55,,2,,,,,,W,5,
7,149,152,140,,.,2,,,,,,W,5,
7,152,153,40,,,2,,,,,,W,5,
7,153,154,60,56,,2,,,,,,W,5,
7,152,155,110,,.,2,,,,,,W,5,
7,155,156,40,,,2,,,,,,W,5,
7,156,157,60,57,,2,,,,,,W,5,
7,155,158,90,,.,2,,,,,,W,5,
7,158,159,40,,,2,,,,,,W,5,
7,159,160,80,58,,2,,,,,,W,5,
7,158,161,100,,.,2,,,,,,W,5,
7,161,162,30,,,2,,,,,,W,5,
7,162,163,60,59,,2,,,,,,W,5,
7,161,164,50,,.,2,,,,,,W,5,
7,164,165,20,,,2,,,,,,W,5,
7,165,166,70,60,,2,,,,,,W,5,
7,166,167,40,61,,2,,,,,,W,5,
7,164,168,430,,.,2,,,,,,W,5,
7,168,169,20,,,2,,,,,,W,5,
7,169,170,40,62,,2,,,,,,W,5,
7,168,171,60,,.,2,,,,,,W,5,
7,171,172,40,,,2,,,,,,W,5,
7,172,173,60,63,,2,,,,,,W,5,
7,173,174,30,64,,2,,,,,,W,5,
7,171,175,70,,.,2,,,,,,W,5,
7,175,176,30,,,2,,,,,,W,5,
7,176,177,50,65,,2,,,,,,W,5,
7,177,178,30,66,,2,,,,,,W,5,
7,175,179,390,,.,2,,,,,,W,5,
7,179,180,30,67,,2,,,,,,W,5,
7,180,181,20,68,,2,,,,,,W,5,
7,182,134,150,,,,,,,,5,,5,
7,182,183,50,,.,,,,,,,W,6,
7,183,184,110,,,,,,,,,W,6,
7,184,185,20,,,,,,,,,W,6,
7,185,186,80,69,,,,,,,,W,6,
7,183,187,30,,,,,,,,,E,6,
7,187,188,90,,.,15,,,,,,E,6,
7,188,189,20,,,15,,,,,,E,6,
7,189,190,80,70,,15,,,,,,E,6,
7,188,191,190,,.,15,,,,,,E,6,
7,191,192,100,,,15,,,,,,E,6,
7,192,193,90,71,,15,,,,,,E,6,
7,191,194,160,,.,15,,,,,,E,6,
7,194,195,90,,,15,,,,,,E,6,
7,195,196,110,72,,15,,,,,,E,6,
7,194,197,60,,.,15,,,,,,E,6,
7,197,198,50,,,15,,,,,,E,6,
7,198,199,80,73,,15,,,,,,E,6,
7,197,200,300,,.,15,,,,,,E,6,
7,200,201,90,,,15,,,,,,E,6,
7,201,202,110,74,,15,,,,,,E,6,
7,200,203,140,,.,15,,,,,,E,6,
7,203,204,90,,,15,,,,,,E,6,
7,204,205,100,75,,15,,,,,,E,6,
7,203,206,70,,.,15,,,,,,E,6,
7,206,207,30,,,15,,,,,,E,6,
7,207,208,80,76,,15,,,,,,E,6,
7,208,209,20,77,,15,,,,,,E,6,
7,206,210,70,,.,15,,,,,,E,6,
7,210,211,40,,,15,,,,,,E,6,
7,211,212,70,372,,15,,,,,,E,6,out of sequence
7,210,213,100,,.,15,,,,,,E,6,
7,213,214,90,,,15,,,,,,E,6,
7,214,215,60,78,,15,,,,,,E,6,
7,213,216,130,,.,15,,,,,,E,6,
7,216,217,100,,,15,,,,,,E,6,
7,217,218,90,79,,15,,,,,,E,6,
7,216,219,100,,.,15,,,,,,E,6,
7,219,220,70,,,15,,,,,,E,6,
7,220,221,80,80,,15,,,,,,E,6,
7,219,222,130,,.,15,,,,,,E,6,
7,222,223,110,,,15,,,,,,E,6,
7,223,224,90,81,,15,,,,,,E,6,
7,222,225,210,,.,15,,,,,,E,6,
7,225,226,60,,,15,,,,,,E,6,
7,226,227,60,82,,15,,,,,,E,6,
7,225,228,50,,.,15,,,,,,E,6,
7,228,229,40,,,15,,,,,,E,6,
7,229,230,70,83,,15,,,,,,E,6,
7,228,231,210,,.,15,,,,,,E,6,
7,231,232,80,,,15,,,,,,E,6,
7,232,233,80,84,,15,,,,,,E,6,
7,231,234,60,,.,15,,,,,,E,6,
7,234,235,70,,,15,,,,,,E,6,
7,235,236,80,85,,15,,,,,,E,6,
7,234,237,60,,.,15,,,,,,E,6,
7,237,238,60,,,15,,,,,,E,6,
7,238,239,100,86,,15,,,,,,E,6,
7,237,240,170,,.,15,,,,,,E,6,
7,240,241,110,,,15,,,,,,E,6,
7,241,242,90,87,,15,,,,,,E,6,
7,243,182,80,,,,,,,,6,,6,
7,243,244,50,,,,,,,,,W,7,
7,244,245,60,,,,,,,,,W,7,
7,245,246,70,88,,,,,,,,W,7,
7,246,247,30,89,,,,,,,,W,7,
7,248,243,170,,,,,,,,7,,7,
7,248,249,230,,.,,,,,,,W,8,
7,249,250,40,,,,,,,,,W,8,
7,250,251,50,,,,,,,,,W,8,
7,251,252,70,90,,,,,,,,W,8,
7,252,253,30,91,,,,,,,,W,8,
7,249,254,50,,.,,,,,,,W,8,
7,254,255,50,,,,,,,,,W,8,
7,255,256,40,,,,,,,,,W,8,
7,256,257,80,92,,,,,,,,W,8,
7,254,258,190,,,,,,,,,W,8,
7,258,259,40,,.,3,,,,,,W,8,
7,259,260,130,93,,3,,,,,,W,8,
7,259,261,90,,.,3,,,,,,W,8,
7,261,262,70,,,3,,,,,,W,8,
7,262,263,100,94,,3,,,,,,W,8,
7,261,264,180,,.,3,,,,,,W,8,
7,264,265,80,,,3,,,,,,W,8,
7,265,266,120,95,,3,,,,,,W,8,
7,264,267,120,,.,3,,,,,,W,8,
7,267,268,80,,,3,,,,,,W,8,
7,268,269,80,96,,3,,,,,,W,8,
7,267,270,80,,.,3,,,,,,W,8,
7,270,271,70,,,3,,,,,,W,8,
7,271,272,100,373,,3,,,,,,W,8,out of sequence
7,270,273,110,,.,3,,,,,,W,8,
7,273,274,80,,,3,,,,,,W,8,
7,274,275,80,97,,3,,,,,,W,8,
7,273,276,70,,.,3,,,,,,W,8,
7,276,277,70,,,3,,,,,,W,8,
7,277,278,60,98,,3,,,,,,W,8,
7,276,279,120,,.,3,,,,,,W,8,
7,279,280,50,,,3,,,,,,W,8,
7,280,281,80,99,,3,,,,,,W,8,
7,279,282,110,,.,3,,,,,,W,8,
7,282,283,60,,,3,,,,,,W,8,
7,283,284,60,100,,3,,,,,,W,8,
7,282,285,90,,.,3,,,,,,W,8,
7,285,286,50,,,3,,,,,,W,8,
7,286,287,60,101,,3,,,,,,W,8,
7,285,288,290,,.,3,,,,,,W,8,
7,288,289,50,,,3,,,,,,W,8,
7,289,290,70,102,,3,,,,,,W,8,
7,288,291,60,,.,3,,,,,,W,8,
7,291,292,10,,,3,,,,,,W,8,
7,292,293,40,103,,3,,,,,,W,8,
7,293,294,30,104,,3,,,,,,W,8,
7,291,295,70,,.,3,,,,,,W,8,
7,295,296,40,,,3,,,,,,W,8,
7,296,297,70,105,,3,,,,,,W,8,
7,295,298,100,,.,3,,,,,,W,8,
7,298,299,20,,,3,,,,,,W,8,
7,299,300,90,106,,3,,,,,,W,8,
7,298,301,60,,.,3,,,,,,W,8,
7,301,302,40,,,3,,,,,,W,8,
7,302,303,100,107,,3,,,,,,W,8,
7,301,304,170,,.,3,,,,,,W,8,
7,304,305,50,,,3,,,,,,W,8,
7,305,306,90,108,,3,,,,,,W,8,
7,304,307,80,,.,3,,,,,,W,8,
7,307,308,30,,,3,,,,,,W,8,
7,308,309,90,109,,3,,,,,,W,8,
7,307,310,80,,.,3,,,,,,W,8,
7,310,311,60,,,3,,,,,,W,8,
7,311,312,50,110,,3,,,,,,W,8,
7,310,313,70,,.,3,,,,,,W,8,
7,313,314,80,,,3,,,,,,W,8,
7,314,315,60,111,,3,,,,,,W,8,
7,313,316,140,,.,3,,,,,,W,8,
7,316,317,140,,,3,,,,,,W,8,
7,317,318,50,112,,3,,,,,,W,8,
7,319,248,180,,,,,,,,8,,8,
7,319,320,90,,,,,,,,,W,9,
7,320,321,140,,,,,,,,,W,9,
7,321,322,70,,,,,,,,,W,9,
7,322,323,120,113,,,,,,,,W,9,
7,324,319,130,,,,,,,,9,,9,
7,324,325,50,,,,,,,,,E,10,
7,325,326,70,,,,,,,,,E,10,
7,326,327,110,114,,,,,,,,E,10,
7,328,324,70,,,,,,,,10,,10,
7,328,329,70,,.,,,,,,,W,11,
7,329,330,190,,,,,,,,,W,11,
7,330,331,70,,,,,,,,,W,11,
7,331,332,100,115,,,,,,,,W,11,
7,329,333,80,,.,4,,,,,,W,11,
7,333,334,180,116,,4,,,,,,W,11,
7,333,335,310,,.,4,,,,,,W,11,
7,335,336,70,,,4,,,,,,W,11,
7,336,337,90,117,,4,,,,,,W,11,
7,335,338,180,,.,4,,,,,,W,11,
7,338,339,60,,,4,,,,,,W,11,
7,339,340,70,118,,4,,,,,,W,11,
7,338,341,330,,.,4,,,,,,W,11,
7,341,342,70,,,4,,,,,,W,11,
7,342,343,90,119,,4,,,,,,W,11,
7,341,344,150,,.,4,,,,,,W,11,
7,344,345,40,,,4,,,,,,W,11,
7,345,346,70,120,,4,,,,,,W,11,
7,344,347,80,,.,4,,,,,,W,11,
7,347,348,20,,,4,,,,,,W,11,
7,348,349,50,121,,4,,,,,,W,11,
7,347,350,70,,.,4,,,,,,W,11,
7,350,351,70,,,4,,,,,,W,11,
7,351,352,70,122,,4,,,,,,W,11,
7,350,353,60,,.,4,,,,,,W,11,
7,353,354,60,,,4,,,,,,W,11,
7,354,355,80,123,,4,,,,,,W,11,
7,353,356,160,,.,4,,,,,,W,11,
7,356,357,150,,,4,,,,,,W,11,
7,357,358,80,124,,4,,,,,,W,11,
7,356,359,160,,.,4,,,,,,W,11,
7,359,360,50,,,4,,,,,,W,11,
7,360,361,40,125,,4,,,,,,W,11,
7,359,362,150,,.,4,,,,,,W,11,
7,362,363,40,,,4,,,,,,W,11,
7,363,364,40,126,,4,,,,,,W,11,
7,362,365,170,,.,4,,,,,,W,11,
7,365,366,30,,,4,,,,,,W,11,
7,366,367,50,127,,4,,,,,,W,11,
7,365,368,150,,.,4,,,,,,W,11,
7,368,369,30,,,4,,,,,,W,11,
7,369,370,50,128,,4,,,,,,W,11,
7,368,371,80,,.,4,,,,,,W,11,
7,371,372,20,,,4,,,,,,W,11,
7,372,373,50,129,,4,,,,,,W,11,
7,371,374,100,,.,4,,,,,,W,11,
7,374,375,30,,,4,,,,,,W,11,
7,375,376,50,130,,4,,,,,,W,11,
7,374,377,60,,.,4,,,,,,W,11,
7,377,378,50,,,4,,,,,,W,11,
7,378,379,50,131,,4,,,,,,W,11,
7,380,328,120,,,,,,,,11,,11,
7,380,381,210,,.,,,,,,,E,12,
7,381,382,80,,,,,,,,,E,12,
7,382,383,70,132,,,,,,,,E,12,
7,383,384,40,133,,,,,,,,E,12,
7,381,385,140,,,,,,,,,E,12,
7,385,386,110,,.,14,,,,,,E,12,
7,386,387,70,,,14,,,,,,E,12,
7,387,388,70,134,,14,,,,,,E,12,
7,386,389,50,,.,14,,,,,,E,12,
7,389,390,80,,,14,,,,,,E,12,
7,390,391,160,135,,14,,,,,,E,12,
7,389,392,120,,.,14,,,,,,E,12,
7,392,393,80,,,14,,,,,,E,12,
7,393,394,70,136,,14,,,,,,E,12,
7,392,395,130,,.,14,,,,,,E,12,
,395,396,20,,,14,,,,,,E,12,
