vine_id,from,to,length,to_shoot_id,spurs,cane_id,x,y,quadrant,diameter,to_origin_id,orientation,base_origin_id,notes,
9,1,2,110,,.,,500,110,3,,,W,1,,
9,2,3,40,,,,520,120,3,,,W,1,,
9,3,4,70,,,,470,140,3,,,W,1,,
9,4,5,60,,,,460,180,3,,,W,1,,
9,5,6,50,1,,,450,230,3,,,W,1,"""vine 9 add""",
9,2,7,230,,,,520,290,3,,,W,1,,
9,7,8,130,,,,410,340,3,,,W,1,,
9,8,9,280,,.,,410,490,3,,,W,1,,
9,9,10,50,2,,,380,500,3,,,W,1,,
9,10,11,50,,,,370,520,3,,,W,1,,
9,11,12,70,3,,,330,550,3,,,W,1,,
9,12,13,70,4,,,290,640,3,,,W,1,,
9,13,14,150,5,,,220,760,3,,,W,1,,
9,14,15,100,6,,,210,810,3,,,W,1,,
9,9,16,160,,,,430,650,3,,,W,1,,
9,16,17,230,7,,1,330,850,3,,,W,1,,
9,17,18,170,8,,1,310,0,2,,,W,1,,
9,18,19,60,9,,1,310,60,2,,,W,1,,
9,19,20,170,10,,1,310,230,2,,,W,1,,
9,20,21,190,11,,1,300,410,2,,,W,1,,
9,21,22,270,12,,1,270,670,2,,,W,1,,
9,22,23,60,13,,1,260,730,2,,,W,1,,
9,23,24,80,14,,1,260,810,2,,,W,1,,
9,24,25,70,15,,1,260,870,2,,,W,1,,
9,25,26,140,16,,1,260,30,1,,,W,1,,
9,26,27,70,17,,1,260,90,1,,,W,1,,
9,27,28,90,18,,1,260,190,1,,,W,1,,
9,28,29,70,19,,1,260,260,1,,,W,1,,
9,29,30,90,20,,1,250,360,1,,,W,1,,
9,30,31,100,21,,1,200,430,1,,,W,1,,
9,32,1,100,,,,340,0,4,,1,,1,,
9,32,33,80,,,,360,30,4,,,E,2,,
9,33,34,70,,,,400,20,4,,,E,2,,
9,34,35,50,,,,430,20,4,,,E,2,,
9,35,36,30,,,,460,20,4,,,E,2,,
9,36,37,180,22,,16,530,170,4,,,E,2,,
9,37,38,150,23,,,510,310,4,,,E,2,,
9,38,39,120,24,,,470,420,4,,,E,2,,
9,39,40,300,25,,,360,670,4,,,E,2,,
9,40,41,160,26,,,280,820,4,,,E,2,Not looking healthy,
9,41,42,90,27,,,260,920,4,,,E,2,,
9,42,43,50,28,,,260,970,4,,,E,2,,
9,43,44,190,29,,,250,160,5,,,E,2,,
9,44,45,90,30,,,250,230,5,,,E,2,,
9,45,46,120,31,,,250,330,5,,,E,2,,
9,46,47,100,32,,,250,420,5,,,E,2,,
9,47,48,100,33,,,250,510,5,,,E,2,,
9,48,49,120,34,,,250,630,5,,,E,2,,
9,49,50,100,35,,,240,730,5,,,E,2,,
9,50,51,110,36,,,240,850,5,,,E,2,,
9,51,52,100,37,,,220,930,5,,,E,2,,
9,52,53,90,38,,,230,20,6,,,E,2,,
9,53,54,100,39,,,210,120,6,,,E,2,,
9,54,55,170,40,,,180,270,6,,,E,2,,
9,55,56,70,41,,,240,330,6,,,E,2,,
9,56,57,60,42,,16,260,380,6,,,E,2,,
9,58,32,260,,,,340,0,4,,2,,2,,
9,58,59,40,,.,,80,70,3,,,W,3,,
9,59,60,100,,,,20,120,3,,,W,3,,
9,60,61,60,,,,490,130,9,,,W,3,,
9,61,62,30,,.,,480,130,9,,,W,3,,
9,62,63,40,43,,,490,150,9,,,W,3,,
9,63,64,20,44,,,490,160,9,,,W,3,,
9,62,65,50,,,,460,140,9,,,W,3,,
9,65,66,60,45,,,460,170,9,,,W,3,,
9,59,67,50,,.,,110,120,3,,,W,3,,
9,67,68,50,,,,120,100,3,,,E,3,,
9,68,69,40,,.,,110,80,3,,,E,3,,
9,69,70,60,,,,90,10,3,,,E,3,,
9,70,71,70,,,,90,60,4,,,E,3,,
9,71,72,70,46,,,70,130,4,,,E,3,,
9,72,73,170,47,,,40,300,4,,,E,3,,
9,73,74,130,48,,,20,420,4,,,E,3,,
9,74,75,50,49,,,30,460,4,,,E,3,,
9,69,76,80,,,,160,10,4,,,E,3,,
9,76,77,110,,,,190,120,4,,,E,3,,
9,77,78,100,50,,15,170,210,4,,,E,3,,
9,78,79,60,51,,15,170,260,4,,,E,3,,
9,79,80,60,52,,15,150,320,4,,,E,3,,
9,80,81,80,53,,15,150,400,4,,,E,3,,
9,81,82,120,54,,15,110,520,4,,,E,3,,
9,82,83,170,55,,15,70,670,4,,,E,3,,
9,83,84,80,56,,15,30,750,4,,,E,3,,
9,84,85,60,57,,15,0,810,4,,,E,3,,
9,85,86,80,58,,15,500,880,10,,,E,3,,
9,86,87,80,59,,15,490,940,10,,,E,3,,
9,87,88,70,60,,15,480,0,11,,,E,3,,
9,88,89,80,61,,15,470,80,11,,,E,3,,
9,89,90,70,62,,15,460,150,11,,,E,3,,
9,90,91,70,63,,15,440,210,11,,,E,3,,
9,91,92,60,64,,15,410,280,11,,,E,3,,
9,92,93,80,65,,15,380,330,11,,,E,3,,
9,93,94,90,66,,15,380,410,11,,,E,3,,
9,94,95,190,67,,15,410,560,11,,,E,3,,
9,95,96,90,68,,15,430,630,11,,,E,3,,
9,96,97,90,69,,15,440,710,11,,,E,3,,
9,97,98,180,70,,15,420,880,11,,,E,3,,
9,98,99,80,71,,15,430,920,11,,,E,3,,
9,99,100,260,72,,15,420,180,12,,,E,3,,
9,100,101,90,73,,15,410,260,12,,,E,3,,
9,101,102,80,74,,15,440,320,12,,,E,3,,
9,102,103,140,75,,15,450,470,12,,,E,3,,
9,103,104,80,76,,15,450,550,12,,,E,3,,
9,67,105,60,,,,110,180,3,,,W,3,,
9,105,106,120,,,,80,270,3,,,W,3,,
9,106,107,280,,,,70,540,3,,,W,3,,
9,107,108,40,,,,70,560,3,,,W,3,,
9,108,109,70,,,,0,520,3,,,W,3,,
9,109,110,160,345,,2,430,670,9,,,W,3,shoot tags out of sequence whole cane,
9,110,111,160,346,,2,420,810,9,,,W,3,,
9,111,112,70,347,,2,420,880,9,,,W,3,,
9,112,113,170,348,,2,410,50,8,,,W,3,,
9,113,114,220,349,,2,450,250,8,,,W,3,,
9,114,115,140,350,,2,450,380,8,,,W,3,,
9,115,116,90,351,,2,450,460,8,,,W,3,,
9,116,117,80,352,,2,440,550,8,,,W,3,,
9,117,118,70,353,,2,430,620,8,,,W,3,,
9,118,119,120,354,,2,410,730,8,,,W,3,,
9,119,120,80,355,,2,400,810,8,,,W,3,,
9,120,121,60,356,,2,390,850,8,,,W,3,,
9,121,122,140,357,,2,380,980,8,,,W,3,,
9,122,123,80,358,,2,400,40,7,,,W,3,,
