VineUUID,white_tag,ShootUUID_inner,ShootUUID_outer,CaneUUID
1,451,1-S219,1-S220,1-C11
1,452,1-S140,1-S141,1-C13
1,453,1-S76,1-S77,1-C3
1,454,1-S245,1-S246,1-C6
2,441,2-S340,2-S341,2-C10
2,442,2-S121,2-S122,2-C14
2,443,2-S102,2-S103,2-C2
2,444,2-S164,2-S165,2-C4
3,431,3-S242,3-S243,3-C10
3,432,3-S108,3-S109,3-C13
3,433,3-S29,3-S30,3-C2
3,434,3-S206,3-S207,3-C6
4,421,4-S379,4-S380,4-C10
4,422,4-S27,4-S28,4-C16
4,423,4-S74,4-S75,4-C2
4,424,4-S240,4-S241,4-C5
5,411,5-S216,5-S217,5-C12
5,412,5-S109,5-S110,5-C14
5,413,5-S134,5-S135,5-C4
5,414,5-S230,5-S231,5-C7
6,401,6-S364,6-S365,6-C9
6,402,6-S195,6-S195,6-C12
6,403,6-S99,6-S100,6-C2
6,404,6-S266,6-S267,6-C5
7,391,7-S189,7-S190,7-C12
7,392,7-S10,7-S11,7-C16
7,393,7-S98,7-S99,7-C3
7,394,7-S214,7-S215,7-C6
8,381,8-S253,8-S254,8-C11
8,382,8-S106,8-S107,8-C14
8,383,8-S58,8-S59,8-C3
8,384,8-S206,8-S207,8-C5
9,371,9-S227,9-S228,9-C11
9,372,9-S163,9-S164,9-C14
9,373,9-S91,9-S92,9-C3
9,374,9-S112,9-S113,9-C6
