Shoot,Origin,Leaf loss,No. Fruit,Shoot Length,Shoot type,Pruned?,Regrowth?,Strung?,Shoot diameter,notes
1,1,1,3,12,,,,,6.24,
2,1,1,0,5,,,,,4.72,
3,1,1,2,,l,,,,11.38,
4,1,1,5,100,,,,,9.65,
5,1,1,1,10,,,,,6.11,
6,1,1,1,3,,,,,6.04,
7,1,1,2,6,,,,,5.88,
8,1,1,3,3,,,,,9.11,
9,1,1,1,2,,,,,6.79,
10,1,1,2,3,,,,,5.94,
11,1,1,1,3,,,,,6.04,
12,1,1,1,3,,,,,6.63,
13,1,1,3,4,,,,,7.7,
14,1,1,2,4,,,,,7.05,
15,1,1,3,6,,,,,6.73,
16,1,1,1,4,,,,,6.27,
17,1,1,4,5,,,,,7.64,
18,1,1,3,8,,,,,7.89,
19,1,1,0,11,,y,,,10.82,
20,2,1,3,,l,,,,11.72,
21,3,1,0,3,,,,,5.78,
22,3,1,4,19,,,,,8.64,
23,3,1,6,,l,,,,16.27,
24,3,1,5,31,,y,,,8.87,
25,3,1,4,8,,,,,7.52,
26,3,1,5,225,,,,,9.77,
27,3,1,5,39,,,,,8.18,
28,3,1,3,33,,,,,7.04,
29,3,1,2,7,,,,,4.71,
30,3,1,3,6,,,,,6.08,
31,3,1,6,86,,,,,11.55,
32,3,1,4,43,,,,,7.46,
33,3,1,3,15,,,,,5.9,
34,3,1,3,14,,,,,7.8,
35,3,1,1,9,,,,,4.57,
36,3,1,0,9,,,,,8.07,
37,3,1,5,27,,,,,7.94,
38,3,1,4,7,,,,,6.66,
39,4,1,2,7,,,,,6.33,
40,4,1,4,30,,,,,8.5,
41,4,1,6,,l,,,,10.08,
42,4,1,2,7,,,,,6.38,
43,4,1,2,32,,,,,7.74,
44,4,1,2,86,,,,,8.64,
45,4,1,4,87,,,,,9.11,
46,4,1,3,26,,,,,10.84,
47,4,1,0,2,,,,,4.09,
48,4,1,0,3,,,,,4.22,
49,4,1,4,50,,,,,11.8,
50,4,1,0,5,,,,,4.98,
51,4,1,5,,l,,,,12.04,
52,4,1,2,104,,,,,8.62,
53,4,1,5,23,,,,,8.95,
54,4,1,3,27,,,,,8.77,
55,4,1,4,23,,y,,,7.83,
56,5,1,7,37,,,,,8.91,
57,5,1,1,47,,,,,9.38,
58,5,1,5,48,,y,,,12.47,
59,5,1,2,5,,,,,5.55,
60,5,1,5,,l,,,,12.32,
61,5,1,1,3,,,,,4.85,
62,5,1,5,38,,,,,8.33,
63,5,1,5,53,,,,,10.65,
64,5,1,2,2,,,,,6.49,
65,5,1,0,2,,,,,5.24,
66,5,1,1,2,,,,,6.02,
67,5,1,3,4,,,,,8.16,
68,5,1,0,1,,,,,4.37,
69,5,1,3,4,,,,,6.87,
70,5,1,4,10,,,,,7.23,
71,5,1,2,4,,,,,5.29,
72,5,1,3,17,,,,,6.51,
73,6,1,6,33,,y,,,11.24,
74,6,1,1,62,,,,,10.6,
75,6,1,2,17,,y,,,12.97,
78,7,1,6,55,,y,,,13.93,
76,7,1,4,109,,,,,10.55,
77,7,1,4,185,,,,,10.22,
79,7,1,3,10,,y,,,10.45,
80,7,1,4,59,,y,,,12.57,
81,8,1,1,3,,,,,5.22,
