Shoot,Origin,Leaf loss,No. Fruit,Shoot Length,Shoot type,Pruned?,Regrowth,Strung?,Shoot diameter,notes,,,,,,,,,,,
1,1,1,,37,,,,,7.7,,,,,,,,,,,,
2,1,1,,7,,y,,,9.63,,,,,,,,,,,,
3,1,1,,54,,,,,9.44,,,,,,,,,,,,
4,1,1,,,l,,,,13.53,,,,,,,,,,,,
5,1,2,,,l,,,,10,,,,,,,,,,,,
6,1,1,,39,,,,,8.33,,,,,,,,,,,,
7,1,1,,53,,,,,6.74,,,,,,,,,,,,
8,1,1,,35,,,,,5.73,,,,,,,,,,,,
9,1,1,,,l,,,,11.39,,,,,,,,,,,,
10,1,1,,,l,,,,10.61,,,,,,,,,,,,
11,1,1,,36,,,,,8.52,,,,,,,,,,,,
12,1,1,,10,,y,,,7.25,,,,,,,,,,,,
13,1,1,,3,,y,,,9.02,,,,,,,,,,,,
14,2,1,,8,,,,,7.25,,,,,,,,,,,,
15,2,1,,31,,,,,6.12,,,,,,,,,,,,
16,3,1,,2,,,,,4.23,,,,,,,,,,,,
17,3,1,,6,,y,,,9.52,,,,,,,,,,,,
18,3,1,,,l,,,,12.4,,,,,,,,,,,,
19,4,1,,,l,,,,13.79,,,,,,,,,,,,
20,4,1,,9,,,,,7.15,,,,,,,,,,,,
21,4,1,,15,,,,,6.69,,,,,,,,,,,,
22,4,1,,5,,,,,7.12,,,,,,,,,,,,
23,4,1,,,l,,,,12.26,,,,,,,,,,,,
24,4,1,,5,,,,,6.68,,,,,,,,,,,,
25,4,1,,3,,,,,6.95,,,,,,,,,,,,
26,4,3,,3,,,,,5.42,,,,,,,,,,,,
27,4,2,,6,,,,,4.8,,,,,,,,,,,,
28,4,1,,,l,,,,8.77,,,,,,,,,,,,
29,4,1,,5,,,,,6.63,,,,,,,,,,,,
30,4,2,,14,,,,,5.94,,,,,,,,,,,,
31,4,2,,45,,,,,6.46,,,,,,,,,,,,
32,4,1,,3,,,,,6.14,,,,,,,,,,,,
33,4,1,,43,,,,,8.59,,,,,,,,,,,,
34,4,2,,9,,y,,,7.46,,,,,,,,,,,,
35,4,1,,1,,,,,5.41,,,,,,,,,,,,
36,4,1,,8,,y,,,7.39,,,,,,,,,,,,
37,4,1,,86,,,,,8.62,,,,,,,,,,,,
38,4,1,,59,,y,,,10.72,,,,,,,,,,,,
39,4,1,,7,,y,,,9.76,,,,,,,,,,,,
40,4,1,,45,,,,,8.71,,,,,,,,,,,,
41,4,1,,,l,,,,14.88,,,,,,,,,,,,
42,4,1,,32,,y,,,12.28,,,,,,,,,,,,
43,4,1,,,l,,,,16.8,,,,,,,,,,,,
44,4,1,,3,,,,,5.89,,,,,,,,,,,,
45,4,1,,,l,,,,9.97,,,,,,,,,,,,
46,4,1,,4,,,,,12.8,,,,,,,,,,,,
47,4,1,,27,,,,,7.52,,,,,,,,,,,,
48,4,1,,5,,,,,6.02,,,,,,,,,,,,
49,4,1,,29,,,,,7.6,,,,,,,,,,,,
50,4,1,,,l,,,,7.61,,,,,,,,,,,,
51,4,1,,5,,,,,6.82,,,,,,,,,,,,
52,4,1,,,l,,,,11.43,,,,,,,,,,,,
53,4,1,,57,,,,,10.66,,,,,,,,,,,,
54,4,1,,42,,,,,9.42,,,,,,,,,,,,
55,4,1,,33,,,,,6.56,,,,,,,,,,,,
56,4,1,,11,,,,,6.33,,,,,,,,,,,,
57,4,1,,1,,,,,6.09,,,,,,,,,,,,
58,4,1,,1,,,,,5.21,,,,,,,,,,,,
59,4,1,,23,,,,,7.25,,,,,,,,,,,,
60,4,1,,1,,,,,5.57,,,,,,,,,,,,
61,4,1,,21,,,,,6.76,,,,,,,,,,,,
62,4,1,,38,,,,,7.95,,,,,,,,,,,,
63,4,1,,24,,y,,,8.9,,,,,,,,,,,,
64,4,1,,15,,,,,6.21,,,,,,,,,,,,
