Shoot,Origin,Leaf loss,No. Fruit,Shoot Length,Shoot type,Pruned?,Regrowth?,Strung?,Shoot diameter,notes,,,,,,,,
1,1,1,,4,,,,,5.56,,,,,,,,,
2,1,1,,10,y,,,,10.97,,,,,,,,,
3,1,1,,50,,,,,9.28,,,,,,,,,
4,1,1,,,l,,,,12.9,,,,,,,,,
5,1,3,,1,,,,,4.78,,,,,,,,,
6,1,1,,,l,,,,9.23,,,,,,,,,
7,1,2,,7,,,,,5.37,,,,,,,,,
8,1,3,,17,,,,,7.3,,,,,,,,,
9,1,2,,46,,,,,6.8,,,,,,,,,
10,1,3,,7,,,,,6.15,,,,,,,,,
11,1,2,,130,,,,,10.6,,,,,,,,,
12,1,3,,6,,,,,7.94,,,,,,,,,
13,1,3,,45,,,,,5.63,,,,,,,,,
14,1,3,,1,,,,,5.23,,,,,,,,,
15,1,1,,22,,,,,7.11,,,,,,,,,
16,1,1,,51,,,,,7.04,,,,,,,,,
17,1,1,,51,,,,,7.69,,,,,,,,,
18,1,1,,75,,,,,8.9,,,,,,,,,
19,1,2,,102,,y,,,10.07,,,,,,,,,
20,1,1,,4,,,,,6.94,,,,,,,,,
21,1,1,,47,,,,,8.92,,,,,,,,,
22,1,2,,13,,,,,8.7,,,,,,,,,
23,1,3,,25,,y,,,9.98,,,,,,,,,
24,2,1,,39,,,,,8.4,,,,,,,,,
25,2,x,,,,,,,,,,,,,,,,
26,2,1,,22,,,,,6.35,,,,,,,,,
27,2,1,,,l,,,,10.68,,,,,,,,,
28,2,1,,,l,,,,11.32,,,,,,,,,
29,2,2,,,l,,,,9.91,,,,,,,,,
30,2,2,,,l,,,,11.3,,,,,,,,,
31,2,1,,,l,,,,12.5,,,,,,,,,
32,2,3,,2,,,,,4.17,,,,,,,,,
33,2,3,,5,,,,,6.82,,,,,,,,,
34,2,2,,44,,,,,7.85,,,,,,,,,
35,2,3,,7,,,,,8.67,,,,,,,,,
36,2,3,,6,,,,,6.8,,,,,,,,,
37,2,3,,14,,,,,8.07,,,,,,,,,
38,2,2,,89,,,,,8.76,,,,,,,,,
39,2,3,,15,,,,,4.82,,,,,,,,,
40,2,2,,65,,,,,8.79,,,,,,,,,
41,2,3,,9,,,,,7.08,,,,,,,,,
42,2,2,,54,,,,,7.4,,,,,,,,,
43,3,1,,6,,,,,7.54,,,,,,,,,
44,3,2,,48,,,,,8.07,,,,,,,,,
45,3,1,,,l,,,strung,18.3,,,,,,,,,
46,4,1,,75,,,,,7.73,,,,,,,,,
47,4,1,,,l,,,,9.33,,,,,,,,,
48,5,1,,2,,,,,5.92,,,,,,,,,
49,5,1,,19,,,,,7.47,,,,,,,,,
50,5,1,,30,,,,,11.66,,,,,,,,,
51,5,1,,,l,,,,9.92,,,,,,,,,
52,5,1,,9,,y,,,10.88,,,,,,,,,
53,5,1,,,l,,,,12.54,,,,,,,,,
54,5,1,,63,,,,,9.62,,,,,,,,,
55,5,1,,186,,,,,9.86,,,,,,,,,
56,5,2,,,l,,,,10.26,,,,,,,,,
57,5,1,,43,,,,,7.18,,,,,,,,,
58,5,3,,5,,,,,5.25,,,,,,,,,
59,5,2,,213,,,,,9.79,,,,,,,,,
60,5,3,,14,,,,,6.03,,,,,,,,,
61,5,3,,14,,y,,,7.68,,,,,,,,,
62,5,2,,175,,,,,9.81,,,,,,,,,
63,5,3,,62,,,,,9.1,,,,,,,,,
64,5,1,,68,,,,,9.79,,,,,,,,,
65,5,3,,4,,,,,6.29,,,,,,,,,
66,5,2,,70,,,,,9.36,,,,,,,,,
67,5,2,,82,,,,,8.69,,,,,,,,,
68,5,2,,16,,,,,6.35,,,,,,,,,
69,5,1,,52,,,,,8.8,,,,,,,,,
70,5,3,,10,,,,,6.48,,,,,,,,,
71,5,3,,43,,,,,6.39,,,,,,,,,
72,5,2,,27,,,,,7.49,,,,,,,,,
73,5,3,,23,,,,,9.47,,,,,,,,,
74,5,3,,19,,y,,,9.87,,,,,,,,,
75,5,3,,25,,y,,,8.9,,,,,,,,,
76,5,1,,33,,,,,8.97,,,,,,,,,
77,5,1,,,l,,,,12.71,,,,,,,,,
78,5,1,,2,,,,,6.39,,,,,,,,,
79,5,3,,1,,,,,3.82,,,,,,,,,
80,5,1,,2,,,,,5.91,,,,,,,,,
81,5,1,,225,,,,,7.61,,,,,,,,,
82,5,3,,3,,,,,6.89,,,,,,,,,
83,5,3,,3,,,,,8.15,,,,,,,,,
84,5,3,,6,,,,,8.68,,,,,,,,,
85,5,3,,3,,,,,7.06,,,,,,,,,
86,5,2,,33,,,,,7.52,,,,,,,,,
87,5,2,,73,,,,,8.28,,,,,,,,,
88,5,3,,4,,,,,5.75,,,,,,,,,
89,5,3,,1,,,,,6.1,,,,,,,,,
90,5,3,,3,,,,,6.58,,,,,,,,,
91,5,3,,6,,,,,5.39,,,,,,,,,
92,5,3,,3,,,,,7.69,,,,,,,,,
93,5,3,,1,,,,,4.2,,,,,,,,,
94,5,3,,1,,,,,6.66,,,,,,,,,
430,5,3,,1,,,,,5.02,,,,,,,,,
95,5,3,,4,,,,,4.04,,,,,,,,,
96,5,3,,7,,,,,7.26,,,,,,,,,
403,5,1,,,l,,regrowth,,19.49,,,,,,,,,
97,6,1,,53,,,,,7.56,,,,,,,,,
98,6,1,,,l,,,,10.01,,,,,,,,,
99,6,1,,,l,,,,9.37,,,,,,,,,
100,6,1,,68,,,,,8.46,,,,,,,,,
101,6,3,,10,,,,,7.12,,,,,,,,,
102,6,2,,103,,,,,10.25,,,,,,,,,
103,6,2,,64,,,,,9.17,,,,,,,,,
104,6,3,,11,,,,,6.37,,,,,,,,,
105,6,2,,102,,y,,,10.68,,,,,,,,,
106,6,1,,100,,y,,,10.93,,,,,,,,,
107,6,3,,48,,,,,8.28,,,,,,,,,
108,6,2,,60,,,,,7.84,,,,,,,,,
109,6,2,,72,,y,,,8.83,,,,,,,,,
110,6,2,,68,,y,,,7.8,,,,,,,,,
111,6,3,,44,,y,,,7.9,,,,,,,,,
112,6,3,,3,,y,,,5.41,,,,,,,,,
113,7,1,,3,,y,,,13.01,,,,,,,,,
114,7,1,,,l,,,,15.72,,,,,,,,,
115,7,1,,2,,,,,4.57,,,,,,,,,
116,7,1,,41,,,,,9.2,,,,,,,,,
117,7,1,,6,,y,,,11.22,,,,,,,,,
118,7,1,,,l,,,,12.99,,,,,,,,,
119,7,1,,,l,,,,12.15,,,,,,,,,
120,7,3,,3,,,,,3.68,,,,,,,,,
121,7,3,,11,,,,,4.74,,,,,,,,,
122,7,2,,,l,,,,9.78,,,,,,,,,
123,7,2,,89,,,,,9.05,,,,,,,,,
124,7,2,,87,,,,,8.83,,,,,,,,,
125,7,2,,134,,,,,9.03,,,,,,,,,
126,7,2,,46,,,,,7.87,,,,,,,,,
127,7,1,,10,,,,,7.49,,,,,,,,,
128,7,2,,76,,y,,,7.74,,,,,,,,,
129,7,3,,6,,,,,8.07,,,,,,,,,
130,7,1,,64,,,,,7.39,,,,,,,,,
131,7,1,,46,,y,,,8.82,,,,,,,,,
132,7,3,,10,,y,,,7.68,,,,,,,,,
133,8,1,,,l,,,,14.38,,,,,,,,,
134,8,1,,,l,,,,10.97,,,,,,,,,
135,8,1,,2,,,,,5.86,,,,,,,,,
136,8,1,,50,,,,,8.01,,,,,,,,,
137,8,3,,14,,y,,,6.76,,,,,,,,,
138,8,1,,50,,,,,7.61,,,,,,,,,
139,8,2,,36,,,,,7.16,,,,,,,,,
140,9,1,,8,,,,,6.4,,,,,,,,,
141,9,1,,15,,,,,6.72,,,,,,,,,
142,9,1,,10,,,,,5.91,,,,,,,,,
143,9,1,,9,,,,,6.78,,,,,,,,,
144,9,3,,3,,,,,4.14,,,,,,,,,
145,9,1,,3,,,,,6.74,,,,,,,,,
146,9,2,,16,,,,,6.47,,,,,,,,,
147,9,1,,1,,,,,4.44,,,,,,,,,
148,9,1,,3,,,,,6.9,,,,,,,,,
149,9,1,,10,,y,,,6.9,,,,,,,,,
150,9,1,,,l,,,,8.58,,,,,,,,,
151,9,3,,1,,,,,5.48,,,,,,,,,
152,9,1,,3,,,,,4.45,,,,,,,,,
153,9,1,,5,,,,,7.51,,,,,,,,,
154,9,1,,13,,y,,,8.35,,,,,,,,,
155,9,1,,35,,,,,8.15,,,,,,,,,
156,9,1,,1,,,,,4.36,,,,,,,,,
157,9,1,,,l,,,,11.7,,,,,,,,,
158,9,2,,19,,,,,7.58,,,,,,,,,
159,9,3,,5,,,,,6.4,,,,,,,,,
160,9,2,,57,,,,,8.21,,,,,,,,,
161,9,2,,56,,,,,8.45,,,,,,,,,
162,9,2,,,l,,,,10.94,,,,,,,,,
163,9,2,,93,,,,,9.89,,,,,,,,,
164,9,2,,92,,,,,8.58,,,,,,,,,
165,9,3,,20,,,,,7.24,,,,,,,,,
166,9,3,,8,,,,,7.04,,,,,,,,,
167,9,2,,122,,,,,8.76,,,,,,,,,
168,9,3,,15,,,,,6.76,,,,,,,,,
169,9,2,,76,,,,,8.63,,,,,,,,,
170,9,3,,3,,,,,3.33,,,,,,,,,
171,9,2,,50,,,,,8,,,,,,,,,
172,9,3,,10,,,,,6.88,,,,,,,,,
173,9,2,,126,,,,,7.76,,,,,,,,,
174,9,3,,9,,y,,,6.32,,,,,,,,,
404,9,2,,8,,,,,6.64,,,,,,,,,
175,10,1,,,l,,,strung,11.94,,,,,,,,,
