Shoot,Origin,Leaf loss,No. Fruit,Shoot Length,Shoot type,Pruned?,Regrowth,Strung?,Shoot diameter,notes
1,1,1,,4,,,,,5.61,
2,1,1,,26,,y,,,12.21,
3,1,1,,28,,y,,,12.37,
4,1,1,,41,,y,,,14.32,
5,1,1,,12,,,,,6.37,
6,1,1,,,l,,,,10.71,
7,1,1,,35,,,,,6.55,
8,1,1,,,l,,,,9.56,
9,1,1,,37,,y,,,11.21,
10,1,1,,,l,,,,12.27,
11,1,1,,16,,,,,5.53,
12,1,1,,38,,y,,,11.2,
13,1,2,,17,,,,,6.31,
14,1,1,,38,,,,,10.08,
15,1,1,,8,,,,,5.46,
16,1,1,,7,,,,,4.48,
17,1,1,,2,,,,,6.99,
18,1,1,,9,,,,,5.6,
19,1,1,,17,,,,,5.69,
20,1,1,,60,,,,,8.22,
21,1,1,,15,,,,,6.05,
22,1,1,,3,,,,,4.88,
23,1,1,,13,,,,,8.53,
24,1,1,,22,,,,,6.13,
25,1,1,,8,,,,,6.71,
26,1,1,,3,,,,,6.04,
27,1,1,,4,,,,,5.49,
28,2,1,,10,,,,,9.38,
29,2,1,,29,,,,,6.16,
30,3,1,,34,,y,,,11.6,
31,3,1,,33,,y,,,13.43,
32,3,1,,6,,y,,,8.8,
33,3,1,,40,,y,,,7.24,
34,3,1,,6,,y,,,11.56,
35,3,1,,39,,,,,7.21,
37,3,1,,,l,,,,14.14,
38,3,1,,67,,,,,10.9,
36,3,3,,18,,,,,4.94,
39,3,2,,46,,,,,8.4,
40,3,1,,38,,,,,9.21,
41,3,3,,44,,,,,7.66,
42,3,1,,46,,,,,8.96,
43,3,2,,39,,,,,7.47,
44,3,2,,50,,,,,7.33,
45,3,1,,32,,,,,5.45,
46,3,1,,25,,,,,8.08,
47,3,1,,22,,,,,7.66,
48,4,1,,9,,,,,6.8,
49,4,1,,47,,,,,9.13,
50,5,1,,18,,,,,6.33,
51,5,1,,17,,,,,5.81,
52,5,1,,37,,y,,,12.06,
53,5,1,,33,,,,,7.6,
54,5,3,,55,,,,,7.17,
55,5,1,,,l,,,,9.23,
56,5,1,,56,,,,,10.04,
57,5,2,,68,,,,,9.4,
58,5,1,,50,,,,,9.66,
59,5,1,,20,,,,,6.63,
60,5,1,,67,,,,,8.99,
61,5,1,,19,,,,,8.51,
62,5,1,,15,,,,,6.48,
63,5,1,,5,,,,,5.9,
64,5,1,,29,,,,,7.28,
65,5,3,,2,,,,,4.67,
66,5,1,,26,,,,,8.4,
67,5,1,,7,,,,,6.42,
68,5,1,,6,,,,,5.8,
69,6,1,,,l,,,,11.65,
70,6,1,,44,,,,,9.19,
71,6,1,,,l,,,,13.61,
72,6,1,,33,,y,,,13.6,
73,6,1,,,l,,,,9.98,
74,6,1,,40,,,,,7.14,
75,6,1,,95,,,,,9.21,
76,6,3,,2,,,,,6.19,
77,6,3,,4,,,,,5.82,
372,6,1,,37,,,,,7.89,
78,6,1,,24,,,,,6.38,
79,6,1,,30,,y,,,11.81,
80,6,2,,10,,,,,4.59,
81,6,1,,45,,,,,8.15,
82,6,1,,5,,,,,5.75,
83,6,1,,51,,y,,,8.42,
84,6,1,,78,,,,,10.36,
85,6,1,,54,,,,,9.97,
86,6,2,,4,,,,,6.93,
87,6,3,,5,,,,,6.94,
88,7,1,,3,,,,,6.11,
89,7,1,,46,,,,,6.81,
90,8,1,,1,,,,,6.17,
91,8,1,,9,,,,,6.66,
92,8,1,,34,,,,,7.38,
93,8,1,,52,,y,,,12,
94,8,1,,58,,,,,9.38,
95,8,1,,,l,,,,10.33,
96,8,1,,21,,,,,6.6,
373,8,1,,88,,,,,10.32,
97,8,2,,7,,,,,5.34,
98,8,1,,32,,y,,,10.34,
99,8,1,,,l,,,,11.27,
100,8,1,,5,,,,,5.02,
101,8,1,,,l,,,,8.81,
102,8,1,,4,,,,,6.87,
103,8,1,,4,,,,,6.43,
104,8,1,,50,,,,,10.09,
105,8,1,,77,,,,,7.91,
106,8,1,,,l,,,,10.04,
107,8,1,,42,,,,,8.3,
108,8,1,,30,,,,,6.8,
109,8,1,,53,,y,,,7.9,
110,8,1,,14,,,,,6.46,
111,8,1,,8,,,,,4.21,
112,8,1,,11,,,,,5.47,
113,9,1,,,l,,,,12.62,
114,10,1,,8,,y,,,11.86,
115,11,1,,36,,y,,,9.39,
116,11,1,,54,,y,,,11.5,
117,11,1,,16,,,,,6.33,
118,11,1,,38,,,,,8.28,
119,11,1,,34,,,,,9.36,
120,11,1,,12,,,,,4.79,
121,11,1,,22,,,,,5.85,
122,11,1,,13,,,,,6,
123,11,1,,36,,,,,8.3,
124,11,1,,10,,,,,5.11,
125,11,1,,6,,,,,5.14,
126,11,1,,22,,,,,7.28,
127,11,1,,27,,,,,7.91,
128,11,1,,29,,,,,9.03,
129,11,1,,11,,,,,6.58,
130,11,1,,1,,,,,5.08,
131,11,1,,25,,,,,6.12,
132,12,1,,14,,,,,7.22,
133,12,1,,,l,,,,9.13,
134,12,1,,10,,,,,6.72,
135,12,1,,,l,,,,15.2,
136,12,1,,,l,,,,10.89,
137,12,1,,14,,,,,7.88,
138,12,1,,9,,,,,7.96,
139,12,1,,33,,,,,7.26,
140,12,1,,56,,,,,8.16,
141,12,1,,7,,,,,6.27,
142,12,1,,10,,,,,7.35,
143,12,1,,26,,,,,8.69,
144,12,1,,,l,,,,9.24,
145,12,1,,42,,,,,8.85,
146,12,1,,,l,,,,11.45,
147,12,1,,59,,,,,9.29,
148,12,1,,56,,,,,11.09,
149,12,2,,18,,,,,5.59,
150,12,3,,4,,,,,6.51,
151,12,3,,16,,y,,,8.42,
374,13,1,,21,,,,,5.56,
375,13,1,,1,,,,,5.26,
376,13,1,,51,,,,,9.51,
152,14,1,,,l,,,,16.94,
153,14,1,,29,,y,,,14.06,
154,14,1,,55,,,,,10.04,
155,14,1,,36,,,,,7.67,
156,14,1,,17,,,,,4.87,
157,14,1,,30,,,,,7.39,
158,14,1,,63,,,,,10.89,
