Shoot,Origin,Leaf loss,No. Fruit,Shoot Length,Shoot type,Pruned?,Regrowth,Strung?,Shoot diameter,notes,,,,,,,,
1,1,1,,,l,,,,9.58,,,,,,,,,
2,1,1,,,l,,,,8.62,,,,,,,,,
3,1,1,,60,,,,,4.51,,,,,,,,,
4,1,1,,,l,,,,10.31,,,,,,,,,
5,1,1,,,l,,,,10.16,,,,,,,,,
6,1,2,,,l,,,,9.52,,,,,,,,,
7,1,1,,350,,,,,7.14,,,,,,,,,
8,1,3,,230,,,,,6.97,,,,,,,,,
9,1,2,,650,,,,,8.81,,,,,,,,,
10,1,3,,110,,,,,6.85,,,,,,,,,
11,1,3,,430,,,,,7.31,,,,,,,,,
12,1,1,,,l,,,,9.19,,,,,,,,,
13,1,3,,390,,,,,8.65,,,,,,,,,
14,1,1,,650,,y,,,9.72,,,,,,,,,
15,1,2,,200,,,,,7.22,,,,,,,,,
16,1,2,,520,,,,,7.97,,,,,,,,,
17,1,3,,140,,y,,,8.18,,,,,,,,,
18,2,1,,,l,,,,15.85,,,,,,,,,
19,2,1,,80,,,,,5.86,,,,,,,,,
20,2,1,,,l,,,,11.81,,,,,,,,,
21,3,1,,100,,,,,6.26,,,,,,,,,
22,3,1,,,l,,,,9.19,,,,,,,,,
23,3,3,,50,,,,,4.1,,,,,,,,,
24,3,1,,,l,,,,7.84,,,,,,,,,
25,3,1,,,l,,,,11.31,,,,,,,,,
26,3,3,,80,,,,,4.58,,,,,,,,,
27,3,1,,,l,,,,8.71,,,,,,,,,
28,3,1,,80,,,,,6.47,,,,,,,,,
29,3,1,,740,,,,,8.31,,,,,,,,,
30,3,1,,,l,,,,10.33,,,,,,,,,
31,3,2,,540,,,,,8.8,,,,,,,,,
32,3,3,,10,,,,,6.6,,,,,,,,,
33,3,2,,340,,,,,7.74,,,,,,,,,
34,3,3,,50,,,,,4.36,,,,,,,,,
35,3,1,,470,,,,,9.3,,,,,,,,,
36,3,2,,520,,,,,9.18,,,,,,,,,
37,3,1,,740,,,,,9.01,,,,,,,,,
38,3,1,,,l,,,,8.18,,,,,,,,,
39,3,1,,390,,y,,,8.56,,,,,,,,,
40,3,3,,210,,y,,,8.37,,,,,,,,,
41,3,1,,,l,r,,,9.74,,,,,,,,,
42,4,2,,,l,,,,10.8,broken but some healing,,,,,,,,
43,4,1,,980,,,,,8.59,,,,,,,,,
44,4,2,,1130,,,,,9.31,,,,,,,,,
45,4,2,,100,,y,,,7.4,,,,,,,,,
46,4,1,,50,,,,,6.7,,,,,,,,,
47,4,1,,,l,,,,14.33,,,,,,,,,
48,5,1,,,l,,,strung,19.95,,,,,,,,,
49,5,1,,,l,,,,11.4,,,,,,,,,
50,5,1,,1000,,,,,8.67,,,,,,,,,
51,5,1,,70,,,,,4.71,,,,,,,,,
52,5,1,,,l,,,strung,18.13,,,,,,,,,
53,5,1,,,l,,,,11.63,,,,,,,,,
54,5,3,,40,,,,,5.17,,,,,,,,,
55,5,1,,,l,,,,10.52,,,,,,,,,
56,5,2,,190,,,,,6.58,,,,,,,,,
57,5,2,,780,,,,,8.12,,,,,,,,,
58,5,3,,180,,,,,5.72,,,,,,,,,
59,5,2,,740,,,,,8.95,,,,,,,,,
60,5,2,,1270,,,,,9.54,,,,,,,,,
61,5,2,,,l,,,,9.54,,,,,,,,,
62,5,3,,20,,,,,5.93,,,,,,,,,
63,5,3,,70,,,,,5.88,,,,,,,,,
64,5,1,,,l,,,,10.23,,,,,,,,,
65,5,3,,380,,,,,7.23,,,,,,,,,
66,5,2,,440,,,,,7.38,,,,,,,,,
67,5,2,,450,,,,,7.49,,,,,,,,,
68,5,3,,50,,,,,6.69,,,,,,,,,
69,5,1,,140,,y,,,7.17,,,,,,,,,
70,5,1,,150,,y,,,8.17,,,,,,,,,
71,5,2,,180,,y,,,7.75,,,,,,,,,
72,5,3,,130,,y,,,12.72,,,,,,,,,
73,5,1,,,l,,,,15.56,,,,,,,,,
74,5,1,,380,,,,,6.63,,,,,,,,,
75,5,1,,,l,,,,10.17,,,,,,,,,
76,5,1,,,l,,,,10.51,,,,,,,,,
77,5,1,,,l,,,,13.67,,,,,,,,,
78,5,2,,970,,,,,8.41,,,,,,,,,
79,5,1,,,l,,,,8.88,,,,,,,,,
80,5,3,,50,,,,,7.39,,,,,,,,,
81,5,2,,730,,,,,8.52,,,,,,,,,
82,5,1,,,l,,,,10.67,,,,,,,,,
83,5,3,,650,,,,,8.73,,,,,,,,,
84,5,1,,810,,y,,,11.01,,,,,,,,,
85,5,2,,510,,,,,8.34,,,,,,,,,
86,5,2,,630,,,,,9.75,,,,,,,,,
87,5,1,,550,,,,,7.53,,,,,,,,,
88,5,3,,60,,,,,5.65,,,,,,,,,
89,5,2,,120,,,,,7.39,,,,,,,,,
90,5,3,,30,,,,,6.13,,,,,,,,,
91,6,3,,50,,,,,5.9,,,,,,,,,
92,6,1,,20,,,,,5.35,,,,,,,,,
93,6,1,,20,,,,,8.06,,,,,,,,,
94,6,2,,390,,,,,6.13,,,,,,,,,
394,6,2,,110,,,,,8.05,,,,,,,,,
95,7,1,,,l,,,,13.59,,,,,,,,,
96,7,1,,,l,,,,11.23,,,,,,,,,
97,7,1,,130,,y,,,7.86,,,,,,,,,
98,7,1,,,l,,,,9.92,,,,,,,,,
99,7,1,,,l,,,strung,11.25,,,,,,,,,
100,7,1,,,l,,,,10.71,,,,,,,,,
101,7,1,,,l,,,,8.55,,,,,,,,,
102,7,1,,620,,,,,8.42,,,,,,,,,
103,7,3,,50,,,,,6.57,,,,,,,,,
104,7,1,,790,,,,,9.22,,,,,,,,,
105,7,3,,5,,,,,7.25,,,,,,,,,
106,7,3,,20,,,,,5.81,,,,,,,,,
107,7,2,,540,,,,,8.7,,,,,,,,,
108,7,1,,,l,,,,13.62,,,,,,,,,
109,7,2,,110,,,,,7.59,,,,,,,,,
110,7,1,,510,,,,,8.88,,,,,,,,,
111,7,3,,10,,,,,6.24,,,,,,,,,
112,7,1,,1060,,,,,9.19,,,,,,,,,
113,7,3,,10,,,,,4.99,,,,,,,,,
114,7,1,,860,,,,,9.11,,,,,,,,,
115,7,1,,10,,,,,4.74,,,,,,,,,
116,7,2,,180,,,,,6.42,,,,,,,,,
117,7,1,,210,,,,,9.49,,,,,,,,,
118,7,2,,230,,,,,7,,,,,,,,,
119,7,1,,40,,,,,7.3,,,,,,,,,
120,7,1,,360,,,,,7.42,,,,,,,,,
121,7,1,,40,,,,,6.75,,,,,,,,,
122,7,1,,360,,,,,8.82,,,,,,,,,
123,7,3,,150,,y,,,8.98,,,,,,,,,
124,7,1,,140,,,,,11.66,,,,,,,,,
125,7,3,,20,,,,,3.71,,,,,,,,,
126,7,1,,,l,,,,8.5,,,,,,,,,
127,7,1,,50,,,,,5.87,,,,,,,,,
128,7,2,,,l,,,,9.33,,,,,,,,,
129,7,3,,140,,,,,7.21,,,,,,,,,
130,7,3,,50,,,,,6.3,,,,,,,,,
131,7,2,,710,,,,,8.53,,,,,,,,,
132,7,3,,50,,,,,5.69,,,,,,,,,
133,7,2,,,l,,,,8.74,,,,,,,,,
134,7,1,,60,,,,,6.73,,,,,,,,,
135,7,2,,380,,,,,6.58,,,,,,,,,
136,7,1,,1020,,,,,9.17,,,,,,,,,
137,7,3,,70,,,,,4.62,,,,,,,,,
138,7,2,,310,,,,,9.67,,,,,,,,,
139,7,3,,270,,,,,6.5,,,,,,,,,
140,7,1,,600,,y,,,9.04,,,,,,,,,
141,7,3,,160,,y,,,8.14,,,,,,,,,
142,7,1,,450,,,,,10.19,,,,,,,,,
143,7,2,,300,,,,,8.15,,,,,,,,,
144,7,2,,200,,y,,,7.66,,,,,,,,,
145,8,1,,100,,,,,5.52,,,,,,,,,
146,8,1,,180,,,,,7.82,,,,,,,,,
147,8,1,,40,,,,,5.01,,,,,,,,,
148,8,1,,150,,y,,,10.04,,,,,,,,,
149,8,1,,,l,,,,10.43,,,,,,,,,
150,8,2,,170,,,,,6.9,,,,,,,,,
151,8,1,,,l,,,,8.94,,,,,,,,,
152,8,2,,470,,,,,8.7,,,,,,,,,
153,8,2,,,l,,,,8.76,,,,,,,,,
154,8,2,,250,,,,,7.39,,,,,,,,,
155,8,2,,140,,,,,6.75,,,,,,,,,
156,8,3,,150,,,,,6.68,,,,,,,,,
157,8,3,,370,,,,,8.28,,,,,,,,,
158,8,1,,560,,,,,9.78,,,,,,,,,
159,8,2,,440,,,,,8.24,,,,,,,,,
160,8,3,,480,,,,,7.73,,,,,,,,,
161,8,3,,30,,,,,5.99,,,,,,,,,
162,8,1,,640,,,,,8.89,,,,,,,,,
163,8,3,,150,,,,,7.3,,,,,,,,,
164,8,2,,70,,,,,6.22,,,,,,,,,
165,8,2,,50,,,,,5.77,,,,,,,,,
166,8,1,,390,,,,,7.03,,,,,,,,,
167,8,1,,80,,,,,6.57,,,,,,,,,
168,8,1,,20,,,,,5.84,,,,,,,,,
169,8,2,,130,,,,,5.11,,,,,,,,,
170,8,1,,200,,y,,,8.31,,,,,,,,,
171,9,1,,180,,y,,,15.28,,,,,,,,,
172,9,1,,20,,,,,6.19,,,,,,,,,
173,9,1,,,l,,,,12.49,,,,,,,,,
174,9,1,,,l,,,,9.24,,,,,,,,,
