Vine,Shoot,VineShoot,Origin,Leaf loss,No. Fruit,Shoot Length,Shoot type,Pruned?,Regrowth?,Strung?,Shoot diameter,notes,
9,1,90001,1,1,4,,l,,,,12.02,,
9,2,90002,1,1,0,4,,,,,5.11,,
9,3,90003,1,1,0,137,,,,,8.26,,
9,4,90004,1,1,4,,l,,,,12.28,,
9,5,90005,1,2,6,10,,,,,7.33,,
9,6,90006,1,2,3,76,,,,,7.38,,
9,7,90007,1,1,5,89,,,,,8.38,,
9,8,90008,1,3,5,8,,,,,7.99,,
9,9,90009,1,1,3,43,,,,,8.04,,
9,10,90010,1,2,3,5,,,,,7.35,,
9,11,90011,1,3,1,1,,,,,6.34,,
9,12,90012,1,1,4,3,,,,,7.3,,
9,13,90013,1,1,2,2,,,,,6.89,,
9,14,90014,1,2,6,6,,,,,5.79,,
9,15,90015,1,1,7,88,,,,,8.94,,
9,16,90016,1,1,7,7,,,,,6.6,,
9,17,90017,1,1,7,56,,y,,,10.63,,
9,18,90018,1,2,1,3,,,,,6.54,,
9,19,90019,1,2,3,3,,,,,6.83,,
9,20,90020,1,1,6,10,,,,,7.84,,
9,21,90021,1,1,3,37,,y,,,9.17,,
9,22,90022,2,1,6,,l,,,,16.93,,
9,23,90023,2,1,0,4,,,,,4.23,,
9,24,90024,2,1,5,,l,,,,11.38,,
9,25,90025,2,1,6,,l,,,,11.93,,
9,26,90026,2,3,0,2,,,,,4.44,,
9,27,90027,2,2,3,24,,,,,6.88,,
9,28,90028,2,1,7,,l,,,,11.49,,
9,29,90029,2,1,5,57,,,,,7.63,,
9,30,90030,2,1,2,8,,,,,5.79,,
9,31,90031,2,2,6,70,,,,,9.08,,
9,32,90032,2,1,4,125,,,,,10.85,,
9,33,90033,2,2,1,10,,y,,,6.59,,
9,34,90034,2,1,6,109,,,,,10.41,,
9,35,90035,2,3,2,22,,,,,8.39,,
9,36,90036,2,3,0,8,,,,,5.21,,
9,37,90037,2,1,0,32,,,,,7.42,,
9,38,90038,2,3,0,10,,,,,5.35,,
9,39,90039,2,2,5,79,,y,,,9.11,,
9,40,90040,2,3,0,4,,,,,4.07,,
9,41,90041,2,1,0,30,,,,,6.81,,
9,42,90042,2,2,3,20,,,,,6.77,,
9,43,90043,3,1,0,20,,,,,5.76,,
9,44,90044,3,1,3,59,,,,,7.33,,
9,45,90045,3,1,3,39,,,,,5.62,,
9,46,90046,3,1,2,4,,,,,6.02,,
9,47,90047,3,1,0,2,,,,,5.74,,
9,48,90048,3,1,0,19,,,,,8.65,,
9,49,90049,3,1,0,2,,,,,5.09,,
9,50,90050,3,1,3,,l,,,,11.89,,
9,51,90051,3,1,0,14,,,,,6.72,,
9,52,90052,3,1,0,2,,,,,4.96,,
9,53,90053,3,1,0,,l,,,,10.27,,
9,54,90054,3,1,4,,l,,,,10.42,,
9,55,90055,3,1,3,8,,,,,9.39,,
9,56,90056,3,1,6,58,,,,,9.21,,
9,57,90057,3,1,2,2,,,,,7.8,,
9,58,90058,3,1,3,2,,,,,9.56,,
9,59,90059,3,3,3,2,,,,,5.5,,
9,60,90060,3,1,4,4,,,,,7.47,,
9,61,90061,3,1,5,62,,,,,9.86,,
9,62,90062,3,3,1,1,,,,,5.84,,
