Vine,Tray,TrayFruit,FruitUUID,ShootUUID,Quadrant,QuadrantFromLeader,QuadrantFromTrunk,FruitPos,FloweringColour,FloweringDate,SubTLeaf,Height,Notes,SeedCount,FASTDate,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FreshWeight,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DryMatter,AvHue,AvFirm,AvSSC,Comments
1,1,1,10001,1-1,9,1,2,1,p,2019-11-08,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,1,,110.26,D1862,8.12,1.57,64.8,30.74,103.2,64.23,24.56,103.6,3.08,3.08,15.5,,19.33497537,103.4,3.08,15.5,
1,1,2,10002,1-3,9,1,2,1,y,2019-11-04,m,10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,1,,129.45,D1863,9.46,1.78,67.03,26.65,103.5,64.72,28.94,103.9,4.29,4.16,15,,18.81606765,103.7,4.225,15,
1,1,3,10003,1-3,9,1,2,2,y,2019-11-04,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,1,,144.85,D1873,9.12,1.75,64.76,27.53,101.9,66.07,25.86,102.1,2.88,2.97,15.5,,19.18859649,102,2.925,15.5,
1,1,4,10004,1-4,9,1,2,1,w,2019-11-06,n,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,1,,129.96,D1874,9.58,1.84,65.86,30.39,103.2,65.32,26.6,102.2,2.94,2.7,15,,19.20668058,102.7,2.82,15,
1,1,5,10005,1-4,9,1,2,2,w,2019-11-06,m,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,1,,88.71,D1875,5.86,1.07,61.71,25.34,102.2,63.07,29.51,103.9,2.38,2.42,15,,18.25938567,103.05,2.4,15,
1,1,6,10006,1-4,9,1,2,3,w,2019-11-06,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,1,,95.03,D1876,6.23,1.16,62.59,24.81,102.5,63.06,28.66,102.9,1.85,4.47,15,,18.61958266,102.7,3.16,15,
1,1,7,10007,1-5,9,1,2,1,y,2019-11-04,n,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,1,,140.56,D1877,8.7,1.64,63,31.55,102.9,63.45,30.18,102.3,1.82,1.53,15,,18.85057471,102.6,1.675,15,
1,1,8,10008,1-5,9,1,2,2,y,2019-11-04,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,1,,125.31,D1878,8.16,1.59,63.6,25.86,101.9,64.31,33.13,103.4,2.32,2.44,15.5,,19.48529412,102.65,2.38,15.5,
1,1,9,10009,1-5,9,1,2,3,y,2019-11-04,l,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,1,,103.8,D1879,7.09,1.36,62.67,34.68,103.6,59.95,30.45,102,1.5,1.27,16.5,,19.1819464,102.8,1.385,16.5,
1,1,10,10010,1-7,8,2,2,1,w,2019-11-06,s,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,1,,101.76,D1880,7.82,1.5,64.41,30.52,104.1,63.46,27.37,103.6,2.37,2.15,16,,19.18158568,103.85,2.26,16,
