shoot_id,cost_to_origin
1_1,200
1_2,450
1_3,460
1_4,500
1_5,180
1_6,190
1_7,710
1_8,730
1_9,340
1_10,390
1_11,460
1_12,550
1_13,700
1_14,780
1_15,940
1_16,1090
1_17,1180
1_18,1240
1_19,1310
1_20,1390
1_21,1700
1_22,1780
1_23,1830
1_24,1910
1_25,1970
1_26,2030
1_27,2170
1_28,2230
1_29,2290
1_30,2340
1_31,2410
1_32,2460
1_33,2530
1_34,2590
1_35,2650
1_36,730
1_37,770
1_38,830
1_39,970
1_40,1040
1_41,1190
1_42,1290
1_43,1640
1_44,1780
1_45,1840
1_46,1950
1_47,2050
1_48,2200
1_49,2410
1_50,2490
1_51,2590
1_52,2660
1_53,2750
1_54,475
1_55,540
1_56,600
1_57,760
1_58,830
1_59,920
1_60,520
1_61,640
1_62,810
1_63,900
1_64,550
1_65,650
1_66,750
1_67,850
1_68,700
1_69,840
1_70,920
1_71,990
1_72,1060
1_73,1250
1_74,1390
1_75,1530
1_76,1600
1_77,1680
1_78,1720
1_79,1810
1_80,1880
1_81,2050
1_82,2110
1_83,2190
1_84,2260
1_85,2350
1_86,2430
1_87,2500
1_88,2580
1_89,2640
1_90,2760
1_91,2830
1_92,300
1_93,410
1_94,560
1_95,610
1_96,770
1_97,910
1_98,970
1_99,1030
1_100,1110
1_101,1270
1_102,1360
1_103,1600
1_104,1730
1_105,1900
1_106,2010
1_107,2110
1_108,2210
1_109,2290
1_110,2370
1_111,330
1_112,420
1_113,570
1_114,710
1_115,790
1_116,1100
1_117,1240
1_118,1340
1_119,1420
1_120,1620
1_121,1920
1_122,2080
1_123,2160
1_124,2230
1_125,2330
1_126,2410
1_127,2590
1_128,2750
1_129,220
1_130,410
1_131,660
1_132,710
1_133,860
1_134,950
1_135,1030
1_136,1160
1_137,1290
1_138,1360
1_139,1640
1_140,1820
1_141,1910
1_142,2060
1_143,2300
1_144,2390
1_145,2440
1_146,2700
1_147,2810
1_148,2890
1_149,330
1_150,380
1_151,550
1_152,660
1_153,840
1_154,890
1_155,1020
1_156,1090
1_157,1210
1_158,1370
1_159,1540
1_160,1610
1_161,1750
1_162,1840
1_163,1930
1_164,1980
1_165,2050
1_166,2140
1_167,2200
1_168,2290
1_169,2370
1_170,2430
1_171,2510
1_172,2590
1_173,2660
1_174,390
1_175,230
1_176,460
1_177,590
1_178,660
1_179,790
1_180,920
1_181,950
1_182,1080
1_183,1220
1_184,1280
1_185,1420
1_186,1560
1_187,1640
1_188,1710
1_189,1790
1_190,1870
1_191,1940
1_192,2010
1_193,2090
1_194,2160
1_195,2270
1_196,2340
1_197,2500
1_198,2540
1_199,620
1_200,700
1_201,850
1_202,1310
1_203,1430
1_204,1480
1_205,1690
1_206,1820
1_207,1910
1_208,2150
1_209,2210
1_210,2300
1_211,2390
1_212,2460
1_213,2560
1_214,2630
1_215,2720
