vine_id,from,to,length,to_shoot_id,spurs,cane_id,x,y,quadrant,diameter,to_origin_id,orientation,base_origin_id,notes
7,1,2,80,NA,.,NA,NA,NA,NA,NA,NA,E,1,NA
7,2,3,90,NA,NA,NA,NA,NA,NA,NA,NA,E,1,NA
7,3,4,70,NA,.,NA,NA,NA,NA,NA,NA,E,1,NA
7,4,5,60,1,NA,NA,NA,NA,NA,NA,NA,E,1,NA
7,4,6,40,NA,NA,NA,NA,NA,NA,NA,NA,E,1,NA
7,6,7,40,NA,NA,NA,NA,NA,NA,NA,NA,E,1,NA
7,7,8,70,2,NA,NA,NA,NA,NA,NA,NA,E,1,NA
7,2,9,110,NA,.,NA,NA,NA,NA,NA,NA,E,1,NA
7,9,10,30,NA,NA,NA,NA,NA,NA,NA,NA,E,1,NA
7,10,11,10,3,NA,NA,NA,NA,NA,NA,NA,E,1,NA
7,11,12,60,4,NA,NA,NA,NA,NA,NA,NA,E,1,NA
7,9,13,90,NA,NA,NA,NA,NA,NA,NA,NA,E,1,NA
7,13,14,50,NA,.,NA,NA,NA,NA,NA,NA,E,1,NA
7,14,15,40,NA,NA,NA,NA,NA,NA,NA,NA,E,1,NA
7,15,16,40,NA,NA,NA,NA,NA,NA,NA,NA,E,1,NA
7,16,17,50,5,NA,NA,NA,NA,NA,NA,NA,E,1,NA
7,14,18,10,NA,NA,NA,NA,NA,NA,NA,NA,E,1,NA
7,18,19,330,NA,.,16,NA,NA,NA,NA,NA,E,1,NA
7,19,20,90,NA,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,20,21,60,6,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,19,22,190,NA,.,16,NA,NA,NA,NA,NA,E,1,NA
7,22,23,60,NA,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,23,24,90,7,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,24,25,40,8,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,22,26,60,NA,.,16,NA,NA,NA,NA,NA,E,1,NA
7,26,27,140,NA,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,27,28,100,9,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,26,29,210,NA,.,16,NA,NA,NA,NA,NA,E,1,NA
7,29,30,40,NA,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,30,31,80,10,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,29,32,160,NA,.,16,NA,NA,NA,NA,NA,E,1,NA
7,32,33,60,NA,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,33,34,50,11,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,32,35,60,NA,.,16,NA,NA,NA,NA,NA,E,1,NA
7,35,36,50,NA,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,36,37,60,12,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,35,38,190,NA,.,16,NA,NA,NA,NA,NA,E,1,NA
7,38,39,70,NA,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,39,40,130,13,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,38,41,150,NA,.,16,NA,NA,NA,NA,NA,E,1,NA
7,41,42,20,NA,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,42,43,30,14,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,43,44,30,15,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,41,45,160,NA,.,16,NA,NA,NA,NA,NA,E,1,NA
7,45,46,140,NA,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,46,47,100,16,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,45,48,70,NA,.,16,NA,NA,NA,NA,NA,E,1,NA
7,48,49,70,NA,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,49,50,40,17,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,50,51,90,18,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,48,52,70,NA,.,16,NA,NA,NA,NA,NA,E,1,NA
7,52,53,90,NA,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,53,54,70,19,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,52,55,240,NA,.,16,NA,NA,NA,NA,NA,E,1,NA
7,55,56,40,NA,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,56,57,50,20,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,55,58,180,NA,.,16,NA,NA,NA,NA,NA,E,1,NA
7,58,59,140,NA,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,59,60,40,21,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,60,61,20,22,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,58,62,120,NA,.,16,NA,NA,NA,NA,NA,E,1,NA
7,62,63,30,NA,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,63,64,40,23,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,64,65,50,24,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,62,66,200,NA,.,16,NA,NA,NA,NA,NA,E,1,NA
7,66,67,40,NA,NA,16,NA,NA,NA,NA,NA,E,1,NA
7,67,68,30,25,NA,16,NA,NA,NA,NA,NA,E,1,NA
