VineUUID,ShootUUID,LeafLoss,NumFruit,ShootLength,IsPruned,HasRegrowth,IsStrung,LengthIsEstimate,ShootDiameter,Comments,WoodType,ShootTypeRefined,ShootTypeCoarse,ShootVolume,ShootLeafArea
1,1-S1,1,1,77,FALSE,FALSE,FALSE,FALSE,9.63,,Cane,medium,medium,18.694417007721025,2255.83705330723
1,1-S2,1,0,5,FALSE,FALSE,FALSE,FALSE,5.73,,Cane,very short,short,0.4297816559835348,474.5285811131421
1,1-S3,1,2,268,FALSE,FALSE,FALSE,FALSE,13.26,,Cane,long,long,123.36457554235919,4919.628025525885
1,1-S4,1,3,5,FALSE,FALSE,FALSE,FALSE,7.36,,Cane,very short,short,0.7090784058662402,583.6002495982968
1,1-S5,1,3,40,FALSE,FALSE,FALSE,FALSE,7.54,,Cane,medium,medium,5.953485630160849,1405.9250089010034
1,1-S6,1,0,15,FALSE,FALSE,FALSE,FALSE,6.02,,Cane,short,short,1.4231571800394442,778.2848847363628
1,1-S7,1,1,20,FALSE,FALSE,FALSE,FALSE,5.28,,Cane,short,short,1.4597096105639615,786.4835262663512
1,1-S8,1,0,15,FALSE,FALSE,FALSE,FALSE,4.95,,Cane,short,short,0.9622109249322989,662.0617104315289
1,1-S9,1,0,180,FALSE,FALSE,FALSE,FALSE,11.04,,Cane,long,long,57.43535087516545,3587.0609638215615
1,1-S10,1,0,15,FALSE,FALSE,FALSE,FALSE,5.58,,Cane,short,short,1.2227235687404157,730.9661567764294
1,1-S11,1,1,10,FALSE,FALSE,FALSE,FALSE,6.19,,Cane,very short,short,1.003113152285099,673.5492122713484
1,1-S12,2,0,10,FALSE,FALSE,FALSE,FALSE,6.32,,Cane,very short,short,1.0456895867228746,685.2185733636048
1,1-S13,1,0,40,FALSE,FALSE,FALSE,FALSE,6.53,,Cane,medium,medium,4.465344606081901,1248.3727756947198
1,1-S14,1,3,58,FALSE,FALSE,FALSE,FALSE,8.29,,Cane,medium,medium,10.435317838087562,1772.8743619623892
1,1-S15,1,0,17,FALSE,FALSE,FALSE,FALSE,8.69,,Adventitious,short,short,3.3609116873264893,1110.0789691260463
1,1-S16,1,0,12,FALSE,FALSE,FALSE,FALSE,8.73,,Adventitious,short,short,2.3942988674877355,964.9291408942029
1,1-S17,1,1,4,FALSE,FALSE,FALSE,FALSE,10.23,,Adventitious,very short,short,1.0959226060562244,698.633397753342
1,1-S18,1,0,208,FALSE,FALSE,FALSE,FALSE,16.77,,Adventitious,long,long,153.1433301818772,5379.435801268291
1,1-S19,1,5,50,FALSE,FALSE,FALSE,FALSE,9,,Cane,medium,medium,10.602875205865553,1784.5823744898644
1,1-S20,1,1,193,TRUE,TRUE,FALSE,FALSE,16.86,,Cane,long pruned,long,143.62864926414002,5238.725804872831
1,1-S21,1,1,124,FALSE,FALSE,FALSE,FALSE,9.62,,Cane,medium,medium,30.042803407657107,2744.3704779109353
1,1-S22,1,4,20,FALSE,FALSE,FALSE,FALSE,5.97,,Cane,short,short,1.8661531601221408,870.5069198863418
1,1-S23,1,1,9,FALSE,FALSE,FALSE,FALSE,5.45,,Cane,very short,short,0.6998486684493813,580.4491781742075
1,1-S24,1,4,100,FALSE,FALSE,FALSE,FALSE,11.36,,Cane,medium,medium,33.785106275725106,2880.7838120270694
1,1-S25,2,2,2,FALSE,FALSE,FALSE,FALSE,6.22,,Cane,very short,short,0.20257198869857226,347.7575577114819
1,1-S26,1,1,100,FALSE,FALSE,FALSE,FALSE,8.4,,Cane,medium,medium,18.472564803107986,2244.736122359292
1,1-S27,1,7,24,FALSE,FALSE,FALSE,FALSE,7.57,,Cane,short,short,3.6005730570939547,1142.1289542028294
1,1-S28,1,2,22,FALSE,FALSE,FALSE,FALSE,9.21,,Cane,short,short,4.885517439135043,1295.6354451546051
1,1-S29,3,2,1,FALSE,FALSE,FALSE,FALSE,4.89,,Cane,stub,short,0.06260173140992041,214.06096965881838
1,1-S30,1,0,1,FALSE,FALSE,FALSE,FALSE,5.73,,Cane,stub,short,0.08595633119670697,244.02499714163008
1,1-S31,1,4,100,FALSE,FALSE,FALSE,FALSE,9.74,,Cane,medium,medium,24.836279601974585,2536.8134197923378
1,1-S32,1,1,15,FALSE,FALSE,FALSE,FALSE,6.19,,Cane,short,short,1.5046697284276485,796.4044544206342
1,1-S33,1,0,14,FALSE,FALSE,FALSE,FALSE,7.59,,Cane,short,short,2.1114471437181055,916.0821098677393
1,1-S34,1,6,78,FALSE,FALSE,FALSE,FALSE,10.55,,Cane,medium,medium,22.728362561201575,2445.5242550311286
1,1-S35,1,6,48,FALSE,FALSE,FALSE,FALSE,7.92,,Cane,medium,medium,7.882431897045392,1578.8069805595144
1,1-S36,1,4,228,FALSE,FALSE,FALSE,FALSE,11.09,,Short cane,long,long,73.4119171734037,3969.9287004164566
1,1-S37,1,3,13,TRUE,FALSE,FALSE,FALSE,10.3,,Short cane,long stubbed,long,3.610658616709529,1143.4498477838422
1,1-S38,1,0,142,TRUE,TRUE,FALSE,FALSE,11.1,,Short cane,long pruned,long,45.80394965044113,3266.8489195766533
1,1-S39,1,0,24,FALSE,FALSE,FALSE,FALSE,7.65,,Adventitious,short,short,3.6770771213941735,1152.0950085820202
1,1-S40,1,0,27,FALSE,FALSE,FALSE,FALSE,6.88,,Cane,short,short,3.3458715742968153,1108.023552380564
1,1-S41,1,3,24,FALSE,FALSE,FALSE,FALSE,6.46,,Cane,short,short,2.6220737596509562,1001.8524609032136
1,1-S42,1,3,195,FALSE,FALSE,FALSE,FALSE,11.19,,Cane,long,long,63.9239217290643,3749.2716617942247
1,1-S43,1,3,3,FALSE,FALSE,FALSE,FALSE,6.79,,Cane,very short,short,0.362100754650923,442.09053837812513
1,1-S44,1,2,5,FALSE,FALSE,FALSE,FALSE,5.07,,Cane,very short,short,0.33647635417191785,428.884051732309
1,1-S45,1,4,51,FALSE,FALSE,FALSE,FALSE,7.75,,Cane,medium,medium,8.01940612214007,1590.08645623578
1,1-S46,2,3,2,FALSE,FALSE,FALSE,FALSE,7.68,,Cane,very short,short,0.308831124218491,413.95610587828054
1,1-S47,1,3,12,FALSE,FALSE,FALSE,FALSE,6.21,,Cane,short,short,1.2115269325230213,728.1927837770343
1,1-S48,1,4,19,FALSE,FALSE,FALSE,FALSE,6.93,,Cane,short,short,2.3888489896319203,964.0209545789961
